file_name,sheet_name,year_guess,period_guess,original_rows,original_columns,non_empty_rows,non_empty_columns,numeric_like_columns,text_like_columns
2023__Q3__de70d89bb6__Q3-2023_Quarterly_Budget_Performance_Tables.xlsx,Revenues,2023,,46,7,41,6,3,3
2023__Q3__de70d89bb6__Q3-2023_Quarterly_Budget_Performance_Tables.xlsx,Expenditures,2023,,67,7,59,7,3,4
2023__Q3__de70d89bb6__Q3-2023_Quarterly_Budget_Performance_Tables.xlsx,Financing,2023,,15,6,13,6,4,2
2023__Q3__de70d89bb6__Q3-2023_Quarterly_Budget_Performance_Tables.xlsx,Gov.Reserve,2023,,12,3,10,3,1,2
2023__Q3__de70d89bb6__Q3-2023_Quarterly_Budget_Performance_Tables.xlsx,Debt,2023,,15,6,13,6,2,4
2023__Q3__de70d89bb6__Q3-2023_Quarterly_Budget_Performance_Tables.xlsx,Appendix,2023,,25,4,16,4,0,4
2023__Q4__05b025b90b__Q4-2023_Quarterly_Budget_Performance_Table_Final.xlsx,T.CONTENT,2023,,10,2,10,2,0,2
2023__Q4__05b025b90b__Q4-2023_Quarterly_Budget_Performance_Table_Final.xlsx,INTRODUCTION,2023,,9,16,2,3,0,3
2023__Q4__05b025b90b__Q4-2023_Quarterly_Budget_Performance_Table_Final.xlsx,GOV.BUD,2023,,8,6,8,6,4,2
2023__Q4__05b025b90b__Q4-2023_Quarterly_Budget_Performance_Table_Final.xlsx,Summary,2023,,101,32,12,7,0,7
2023__Q4__05b025b90b__Q4-2023_Quarterly_Budget_Performance_Table_Final.xlsx,Revenues,2023,,46,7,41,7,4,3
2023__Q4__05b025b90b__Q4-2023_Quarterly_Budget_Performance_Table_Final.xlsx,Expenditures,2023,,67,7,59,7,4,3
2023__Q4__05b025b90b__Q4-2023_Quarterly_Budget_Performance_Table_Final.xlsx,Financing,2023,,15,7,12,7,5,2
2023__Q4__05b025b90b__Q4-2023_Quarterly_Budget_Performance_Table_Final.xlsx,Gov.Reserve,2023,,12,3,10,3,1,2
2023__Q4__05b025b90b__Q4-2023_Quarterly_Budget_Performance_Table_Final.xlsx,Debt,2023,,15,6,13,6,2,4
2023__Q4__05b025b90b__Q4-2023_Quarterly_Budget_Performance_Table_Final.xlsx,Appendix,2023,,25,4,16,4,0,4
2024__5b144da4bd__Quarterly_Budget_Performance_Report_Q3_2024.xlsx,T.CONTENT,2024,,10,2,10,2,0,2
2024__5b144da4bd__Quarterly_Budget_Performance_Report_Q3_2024.xlsx,INTRODUCTION,2024,,9,16,2,3,0,3
2024__5b144da4bd__Quarterly_Budget_Performance_Report_Q3_2024.xlsx,GOV.BUD,2024,,8,5,8,5,3,2
2024__5b144da4bd__Quarterly_Budget_Performance_Report_Q3_2024.xlsx,Summary,2024,,68,17,8,3,0,3
2024__5b144da4bd__Quarterly_Budget_Performance_Report_Q3_2024.xlsx,Revenues,2024,,48,6,42,6,4,2
2024__5b144da4bd__Quarterly_Budget_Performance_Report_Q3_2024.xlsx,Expenditures,2024,,67,7,59,7,3,4
2024__5b144da4bd__Quarterly_Budget_Performance_Report_Q3_2024.xlsx,Deficit,2024,,13,6,10,6,4,2
2024__5b144da4bd__Quarterly_Budget_Performance_Report_Q3_2024.xlsx,Gov.Reserve,2024,,12,3,10,3,1,2
2024__5b144da4bd__Quarterly_Budget_Performance_Report_Q3_2024.xlsx,Debt,2024,,15,6,13,6,1,5
2024__5b144da4bd__Quarterly_Budget_Performance_Report_Q3_2024.xlsx,Appendix,2024,,25,4,16,4,0,4
2024__d9033a1e15__Quarterly_Budget_Performance_Report_Q4_2024.xlsx,T.CONTENT,2024,,10,2,10,2,0,2
2024__d9033a1e15__Quarterly_Budget_Performance_Report_Q4_2024.xlsx,INTRODUCTION,2024,,9,16,2,3,0,3
2024__d9033a1e15__Quarterly_Budget_Performance_Report_Q4_2024.xlsx,GOV.BUD,2024,,8,6,8,6,4,2
2024__d9033a1e15__Quarterly_Budget_Performance_Report_Q4_2024.xlsx,Summary,2024,,68,17,8,3,0,3
2024__d9033a1e15__Quarterly_Budget_Performance_Report_Q4_2024.xlsx,Revenues,2024,,48,7,45,7,4,3
2024__d9033a1e15__Quarterly_Budget_Performance_Report_Q4_2024.xlsx,Expenditures,2024,,67,7,63,7,4,3
2024__d9033a1e15__Quarterly_Budget_Performance_Report_Q4_2024.xlsx,Deficit,2024,,13,7,11,7,5,2
2024__d9033a1e15__Quarterly_Budget_Performance_Report_Q4_2024.xlsx,Gov.Reserve,2024,,12,3,11,3,1,2
2024__d9033a1e15__Quarterly_Budget_Performance_Report_Q4_2024.xlsx,Debt ,2024,,15,6,14,6,2,4
2024__d9033a1e15__Quarterly_Budget_Performance_Report_Q4_2024.xlsx,Appendix,2024,,25,4,16,4,0,4
2024__e516a48435__Quarterly_Budget_Performance_Report_Q2_2024-all.xlsx,T.CONTENT,2024,,10,2,10,2,0,2
2024__e516a48435__Quarterly_Budget_Performance_Report_Q2_2024-all.xlsx,INTRODUCTION,2024,,9,16,2,3,0,3
2024__e516a48435__Quarterly_Budget_Performance_Report_Q2_2024-all.xlsx,GOV.BUD,2024,,10,5,9,5,3,2
2024__e516a48435__Quarterly_Budget_Performance_Report_Q2_2024-all.xlsx,Summary,2024,,72,18,9,4,0,4
2024__e516a48435__Quarterly_Budget_Performance_Report_Q2_2024-all.xlsx,Revenues,2024,,50,6,47,6,3,3
2024__e516a48435__Quarterly_Budget_Performance_Report_Q2_2024-all.xlsx,Expenditures ,2024,,70,7,66,7,4,3
2024__e516a48435__Quarterly_Budget_Performance_Report_Q2_2024-all.xlsx,Deficit,2024,,13,5,11,5,3,2
2024__e516a48435__Quarterly_Budget_Performance_Report_Q2_2024-all.xlsx,Gov.Reserve,2024,,12,3,11,3,1,2
2024__e516a48435__Quarterly_Budget_Performance_Report_Q2_2024-all.xlsx,Debt,2024,,15,6,14,6,1,5
2024__e516a48435__Quarterly_Budget_Performance_Report_Q2_2024-all.xlsx,Expenditures,2024,,51,7,45,7,3,4
2024__e516a48435__Quarterly_Budget_Performance_Report_Q2_2024-all.xlsx,Appendix,2024,,25,4,16,4,0,4
Q3-2023 Quarterly Budget Performance Tables.xlsx,T.CONTENT,2023,Q3,10,2,10,2,0,2
Q3-2023 Quarterly Budget Performance Tables.xlsx,INTRODUCTION,2023,Q3,9,16,2,3,0,3
Q3-2023 Quarterly Budget Performance Tables.xlsx,GOV.BUD,2023,Q3,8,5,8,5,3,2
Q3-2023 Quarterly Budget Performance Tables.xlsx,Summary,2023,Q3,101,32,12,7,0,7
Q3-2023 Quarterly Budget Performance Tables.xlsx,Revenues,2023,Q3,46,7,41,6,3,3
Q3-2023 Quarterly Budget Performance Tables.xlsx,Expenditures,2023,Q3,67,7,59,7,3,4
Q3-2023 Quarterly Budget Performance Tables.xlsx,Financing,2023,Q3,15,6,13,6,4,2
Q3-2023 Quarterly Budget Performance Tables.xlsx,Gov.Reserve,2023,Q3,12,3,10,3,1,2
Q3-2023 Quarterly Budget Performance Tables.xlsx,Debt,2023,Q3,15,6,13,6,2,4
Q3-2023 Quarterly Budget Performance Tables.xlsx,Appendix,2023,Q3,25,4,16,4,0,4
Q4-2023 Quarterly Budget Performance Table_Final.xlsx,T.CONTENT,2023,Q4,10,2,10,2,0,2
Q4-2023 Quarterly Budget Performance Table_Final.xlsx,INTRODUCTION,2023,Q4,9,16,2,3,0,3
Q4-2023 Quarterly Budget Performance Table_Final.xlsx,GOV.BUD,2023,Q4,8,6,8,6,4,2
Q4-2023 Quarterly Budget Performance Table_Final.xlsx,Summary,2023,Q4,101,32,12,7,0,7
Q4-2023 Quarterly Budget Performance Table_Final.xlsx,Revenues,2023,Q4,46,7,41,7,4,3
Q4-2023 Quarterly Budget Performance Table_Final.xlsx,Expenditures,2023,Q4,67,7,59,7,4,3
Q4-2023 Quarterly Budget Performance Table_Final.xlsx,Financing,2023,Q4,15,7,12,7,5,2
Q4-2023 Quarterly Budget Performance Table_Final.xlsx,Gov.Reserve,2023,Q4,12,3,10,3,1,2
Q4-2023 Quarterly Budget Performance Table_Final.xlsx,Debt,2023,Q4,15,6,13,6,2,4
Q4-2023 Quarterly Budget Performance Table_Final.xlsx,Appendix,2023,Q4,25,4,16,4,0,4
Quarterly Budget Performance Report_Q1_2023.xlsx,T.CONTENT,2023,,10,2,10,2,0,2
Quarterly Budget Performance Report_Q1_2023.xlsx,INTRODUCTION,2023,,9,16,2,3,0,3
Quarterly Budget Performance Report_Q1_2023.xlsx,GOV.BUD,2023,,8,5,8,5,3,2
Quarterly Budget Performance Report_Q1_2023.xlsx,Summary,2023,,36,17,4,3,0,3
Quarterly Budget Performance Report_Q1_2023.xlsx,Revenues,2023,,32,5,28,5,2,3
Quarterly Budget Performance Report_Q1_2023.xlsx,Expenditures,2023,,51,7,45,7,3,4
Quarterly Budget Performance Report_Q1_2023.xlsx,Surplus - (Deficit),2023,,15,3,12,3,1,2
Quarterly Budget Performance Report_Q1_2023.xlsx,Gov.Reserve,2023,,12,3,10,3,1,2
Quarterly Budget Performance Report_Q1_2023.xlsx,Debt,2023,,15,6,13,6,2,4
Quarterly Budget Performance Report_Q1_2023.xlsx,Appendix,2023,,25,4,16,4,0,4
Quarterly_Budget _Performance_Report_Q2_2023.xlsx,T.CONTENT,2023,,10,2,10,2,0,2
Quarterly_Budget _Performance_Report_Q2_2023.xlsx,INTRODUCTION,2023,,9,16,2,3,0,3
Quarterly_Budget _Performance_Report_Q2_2023.xlsx,GOV.BUD,2023,,8,5,8,5,3,2
Quarterly_Budget _Performance_Report_Q2_2023.xlsx,Summary,2023,,64,17,7,3,0,3
Quarterly_Budget _Performance_Report_Q2_2023.xlsx,Revenues,2023,,46,7,41,6,3,3
Quarterly_Budget _Performance_Report_Q2_2023.xlsx,Expenditures,2023,,67,7,59,7,4,3
Quarterly_Budget _Performance_Report_Q2_2023.xlsx,Financing,2023,,15,5,13,5,3,2
Quarterly_Budget _Performance_Report_Q2_2023.xlsx,Gov.Reserve,2023,,12,3,10,3,1,2
Quarterly_Budget _Performance_Report_Q2_2023.xlsx,Debt,2023,,15,6,13,6,2,4
Quarterly_Budget _Performance_Report_Q2_2023.xlsx,Appendix,2023,,25,4,16,4,0,4
