panel_observation_id,year,period,period_order,year_period_key,category,normalized_indicator,panel_entity,unit_mode,value_mean,value_median,value_sum,value_min,value_max,value_std,value_count,n_source_files,n_source_sheets,n_value_columns,n_raw_labels,value_winsorized,value_lag_1,value_lag_2,value_lag_4,value_change_lag_1,value_change_lag_2,value_change_lag_4,value_pct_change_lag_1,value_pct_change_lag_2,value_pct_change_lag_4,value_rolling_mean_2,value_rolling_std_2,value_rolling_mean_4,value_rolling_std_4,value_robust_z_by_entity,value_abs_robust_z_by_entity,value_minmax_by_entity,value_robust_z_by_period,is_core_indicator,is_revenue_related,is_expenditure_related,is_debt_related,is_surplus_deficit_related
2024__q2__debt_domestic_debt_end_of_period_balance,2024,Q2,2,2024__q2,Debt,domestic_debt,debt_domestic_debt_end_of_period_balance,unspecified,680291.557886,680291.557886,680291.557886,680291.557886,680291.557886,,1,1,1,1,1,680291.557886,644405.31632691,644405.31632691,623536.0,35886.24155908998,35886.24155908998,56755.557886000024,0.0556889284583194,0.0556889284583194,0.09102210279117809,662348.437106455,25375.404757730765,649434.797634955,21872.96203162702,1.995833731374829,1.995833731374829,0.6351767640714692,11.572702711644498,1,0,0,1,0
2024__q3__debt_domestic_debt_end_of_period_balance,2024,Q3,3,2024__q3,Debt,domestic_debt,debt_domestic_debt_end_of_period_balance,unspecified,688718.0,688718.0,688718.0,688718.0,688718.0,,1,1,1,1,1,688718.0,680291.557886,644405.31632691,628637.0,8426.442113999976,44312.68367308995,60081.0,0.012386515775949168,0.06876523602516324,0.09557343904351796,684504.778943,5958.394360082923,664455.047634955,23405.621585775454,2.306095874106388,2.306095874106388,0.6882155567324626,9.143824498613263,1,0,0,1,0
2024__q4__debt_domestic_debt_end_of_period_balance,2024,Q4,4,2024__q4,Debt,domestic_debt,debt_domestic_debt_end_of_period_balance,unspecified,738252.18868397,738252.18868397,738252.18868397,738252.18868397,738252.18868397,,1,1,1,1,1,738252.18868397,688718.0,680291.557886,644405.31632691,49534.18868397002,57960.63079796999,93846.87235705997,0.07192230881720822,0.08519969140596444,0.14563329938366149,713485.094341985,35025.96071900851,687916.76572422,38668.19021768164,4.129947899865161,4.129947899865161,1.0,5.598070283812937,1,0,0,1,0
2022__q1__debt_domestic_debt_financing_from_domestic_borrowing,2022,Q1,1,2022__q1,Debt,domestic_debt,debt_domestic_debt_financing_from_domestic_borrowing,unspecified,0.0,0.0,0.0,0.0,0.0,,1,1,1,1,1,0.0,,,,,,,,,,0.0,,0.0,,-0.5039526306789697,0.5039526306789697,0.0,-0.6744999999999999,1,0,0,1,0
2022__q2__debt_domestic_debt_financing_from_domestic_borrowing,2022,Q2,2,2022__q2,Debt,domestic_debt,debt_domestic_debt_financing_from_domestic_borrowing,unspecified,0.0,0.0,0.0,0.0,0.0,,1,1,1,1,1,0.0,0.0,,,0.0,,,,,,0.0,0.0,0.0,0.0,-0.5039526306789697,0.5039526306789697,0.0,-0.6745998224063934,1,0,0,1,0
2022__q3__debt_domestic_debt_financing_from_domestic_borrowing,2022,Q3,3,2022__q3,Debt,domestic_debt,debt_domestic_debt_financing_from_domestic_borrowing,unspecified,0.0,0.0,0.0,0.0,0.0,0.0,2,1,1,2,1,0.0,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,-0.5039526306789697,0.5039526306789697,0.0,-0.71170203484536,1,0,0,1,0
2022__end_year_annual__debt_domestic_debt_financing_from_domestic_borrowing,2022,End-Year/Annual,5,2022__end_year_annual,Debt,domestic_debt,debt_domestic_debt_financing_from_domestic_borrowing,unspecified,0.0,0.0,0.0,0.0,0.0,,1,1,1,1,1,0.0,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,-0.5039526306789697,0.5039526306789697,0.0,-0.6745,1,0,0,1,0
2023__q1__debt_domestic_debt_financing_from_domestic_borrowing,2023,Q1,1,2023__q1,Debt,domestic_debt,debt_domestic_debt_financing_from_domestic_borrowing,unspecified,0.0,0.0,0.0,0.0,0.0,,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,-0.5039526306789697,0.5039526306789697,0.0,-0.6745,1,0,0,1,0
2023__q2__debt_domestic_debt_financing_from_domestic_borrowing,2023,Q2,2,2023__q2,Debt,domestic_debt,debt_domestic_debt_financing_from_domestic_borrowing,unspecified,0.0,0.0,0.0,0.0,0.0,0.0,2,1,1,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,-0.5039526306789697,0.5039526306789697,0.0,-0.688177189939531,1,0,0,1,0
2023__q3__debt_domestic_debt_financing_from_domestic_borrowing,2023,Q3,3,2023__q3,Debt,domestic_debt,debt_domestic_debt_financing_from_domestic_borrowing,unspecified,0.0,0.0,0.0,0.0,0.0,,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,-0.5039526306789697,0.5039526306789697,0.0,-0.7085621901231662,1,0,0,1,0
2023__q4__debt_domestic_debt_financing_from_domestic_borrowing,2023,Q4,4,2023__q4,Debt,domestic_debt,debt_domestic_debt_financing_from_domestic_borrowing,unspecified,20946.49116594061,20946.49116594061,20946.49116594061,20946.49116594061,20946.49116594061,,1,1,1,1,1,20946.49116594061,0.0,0.0,0.0,20946.49116594061,20946.49116594061,20946.49116594061,,,,10473.245582970305,14811.405945500717,5236.622791485152,10473.245582970305,1.7638342073763937,1.7638342073763937,1.0,-0.47361190130153913,1,0,0,1,0
