source_file,source_relative_path,sheet_name,source_sha256,file_year_guess,file_period_guess,year,period,row_number_in_cleaned_table,label,category,value_column,value,raw_value,unit,label_columns_used,normalized_indicator,period_order
Quarterly Budget Performance Report_Q1_2023.xlsx,PDF\Data\Quarterly Budget Performance Report_Q1_2023.xlsx,Expenditures,ca3b02390734746828aafdb87b9144ca2240fdddf506d0c5faecb2aa760f933b,2023,,2022,Q1,19,الأمن والمناطق الإدارية | Security and Regional Administration,Expenditure,Actual expenditures in Q1 of FY 2022 Vs. Q1 of FY 2023,23579.53729552996,23579.537295529957,unspecified,المصروفات الفعلية للربع الأول من السنة المالية 1444/ 1445هـ (2023م) | Column_7,total_expenditure,1
Quarterly Budget Performance Report_Q1_2023.xlsx,PDF\Data\Quarterly Budget Performance Report_Q1_2023.xlsx,Expenditures,ca3b02390734746828aafdb87b9144ca2240fdddf506d0c5faecb2aa760f933b,2023,,2022,Q1,26,الإجمالـــــــــــي | Total,Expenditure,Actual expenditures in Q1 of FY 2022 Vs. Q1 of FY 2023,220467.21839988985,220467.21839988985,unspecified,المصروفات الفعلية للربع الأول من السنة المالية 1444/ 1445هـ (2023م) | Column_7,total_expenditure,1
Quarterly Budget Performance Report_Q1_2023.xlsx,PDF\Data\Quarterly Budget Performance Report_Q1_2023.xlsx,Expenditures,ca3b02390734746828aafdb87b9144ca2240fdddf506d0c5faecb2aa760f933b,2023,,2022,Q1,17,الإدارة العامة | Public Administration,Expenditure,Actual expenditures in Q1 of FY 2022 Vs. Q1 of FY 2023,7788.77158925501,7788.77158925501,unspecified,المصروفات الفعلية للربع الأول من السنة المالية 1444/ 1445هـ (2023م) | Column_7,total_expenditure,1
Quarterly Budget Performance Report_Q1_2023.xlsx,PDF\Data\Quarterly Budget Performance Report_Q1_2023.xlsx,Expenditures,ca3b02390734746828aafdb87b9144ca2240fdddf506d0c5faecb2aa760f933b,2023,,2022,Q1,25,البنود العامة | General Items,Expenditure,Actual expenditures in Q1 of FY 2022 Vs. Q1 of FY 2023,35267.82352112,35267.82352112,unspecified,المصروفات الفعلية للربع الأول من السنة المالية 1444/ 1445هـ (2023م) | Column_7,total_expenditure,1
Quarterly Budget Performance Report_Q1_2023.xlsx,PDF\Data\Quarterly Budget Performance Report_Q1_2023.xlsx,Expenditures,ca3b02390734746828aafdb87b9144ca2240fdddf506d0c5faecb2aa760f933b,2023,,2022,Q1,24,التجهيزات الأساسية والنقل | Infrastructure and Transportation,Expenditure,Actual expenditures in Q1 of FY 2022 Vs. Q1 of FY 2023,9061.49341722,9061.49341722,unspecified,المصروفات الفعلية للربع الأول من السنة المالية 1444/ 1445هـ (2023م) | Column_7,total_expenditure,1
Quarterly Budget Performance Report_Q1_2023.xlsx,PDF\Data\Quarterly Budget Performance Report_Q1_2023.xlsx,Expenditures,ca3b02390734746828aafdb87b9144ca2240fdddf506d0c5faecb2aa760f933b,2023,,2022,Q1,21,التعليم | Education,Expenditure,Actual expenditures in Q1 of FY 2022 Vs. Q1 of FY 2023,45548.68479703005,45548.68479703005,unspecified,المصروفات الفعلية للربع الأول من السنة المالية 1444/ 1445هـ (2023م) | Column_7,total_expenditure,1
Quarterly Budget Performance Report_Q1_2023.xlsx,PDF\Data\Quarterly Budget Performance Report_Q1_2023.xlsx,Expenditures,ca3b02390734746828aafdb87b9144ca2240fdddf506d0c5faecb2aa760f933b,2023,,2022,Q1,20,الخدمات البلدية | Municipal Services,Expenditure,Actual expenditures in Q1 of FY 2022 Vs. Q1 of FY 2023,7595.986516910002,7595.986516910002,unspecified,المصروفات الفعلية للربع الأول من السنة المالية 1444/ 1445هـ (2023م) | Column_7,total_expenditure,1
Quarterly Budget Performance Report_Q1_2023.xlsx,PDF\Data\Quarterly Budget Performance Report_Q1_2023.xlsx,Expenditures,ca3b02390734746828aafdb87b9144ca2240fdddf506d0c5faecb2aa760f933b,2023,,2022,Q1,22,الصحة والتنمية الاجتماعية | Health & Social Development,Expenditure,Actual expenditures in Q1 of FY 2022 Vs. Q1 of FY 2023,37726.60881526997,37726.60881526997,unspecified,المصروفات الفعلية للربع الأول من السنة المالية 1444/ 1445هـ (2023م) | Column_7,total_expenditure,1
Quarterly Budget Performance Report_Q1_2023.xlsx,PDF\Data\Quarterly Budget Performance Report_Q1_2023.xlsx,Expenditures,ca3b02390734746828aafdb87b9144ca2240fdddf506d0c5faecb2aa760f933b,2023,,2022,Q1,18,العسكري | Military,Expenditure,Actual expenditures in Q1 of FY 2022 Vs. Q1 of FY 2023,42644.75141034489,42644.75141034489,unspecified,المصروفات الفعلية للربع الأول من السنة المالية 1444/ 1445هـ (2023م) | Column_7,total_expenditure,1
Quarterly Budget Performance Report_Q1_2023.xlsx,PDF\Data\Quarterly Budget Performance Report_Q1_2023.xlsx,Expenditures,ca3b02390734746828aafdb87b9144ca2240fdddf506d0c5faecb2aa760f933b,2023,,2022,Q1,23,الموارد الاقتصادية | Economic Resources,Expenditure,Actual expenditures in Q1 of FY 2022 Vs. Q1 of FY 2023,11253.561037210004,11253.561037210004,unspecified,المصروفات الفعلية للربع الأول من السنة المالية 1444/ 1445هـ (2023م) | Column_7,total_expenditure,1
