source_file,source_relative_path,sheet_name,file_year_guess,file_period_guess,raw_rows,raw_columns,cleaned_rows,cleaned_columns,detected_header_row_zero_based,value_columns_detected,label_columns_detected
2023__82b22e496b__Quarterly_Budget__Performance_Report_Q2_2023.xlsx,MoF_Web_Crawl\2023__82b22e496b__Quarterly_Budget__Performance_Report_Q2_2023.xlsx,Summary,2023,,65,17,3,3,2,(مليون ريال) | Column_2 | (SAR Million),
2023__82b22e496b__Quarterly_Budget__Performance_Report_Q2_2023.xlsx,MoF_Web_Crawl\2023__82b22e496b__Quarterly_Budget__Performance_Report_Q2_2023.xlsx,Revenues,2023,,47,7,25,6,13,Column_2 | Column_3 | Column_4,الإيرادات الفعلية للربع الثاني من السنة المالية 1444/ 1445هـ (2023م) | Actual revenues in Q2 of FY 2022 Vs. Q2 of FY 2023
2023__82b22e496b__Quarterly_Budget__Performance_Report_Q2_2023.xlsx,MoF_Web_Crawl\2023__82b22e496b__Quarterly_Budget__Performance_Report_Q2_2023.xlsx,Expenditures,2023,,68,7,41,7,14,Column_2 | Column_3 | Column_4 | Column_6,المصروفات الفعلية للربع الثاني من السنة المالية 1444/ 1445هـ (2023م) | Actual expenditures in Q2 of FY 2022 Vs. Q2 of FY 2023 | Column_7
2023__82b22e496b__Quarterly_Budget__Performance_Report_Q2_2023.xlsx,MoF_Web_Crawl\2023__82b22e496b__Quarterly_Budget__Performance_Report_Q2_2023.xlsx,Financing,2023,,16,5,8,5,3,الإجمالي | Q2 2023 | Q1 2023,البيان | Item
2023__82b22e496b__Quarterly_Budget__Performance_Report_Q2_2023.xlsx,MoF_Web_Crawl\2023__82b22e496b__Quarterly_Budget__Performance_Report_Q2_2023.xlsx,Gov.Reserve,2023,,13,3,3,3,2,Column_2,(مليون ريال) | (SAR Million)
2023__82b22e496b__Quarterly_Budget__Performance_Report_Q2_2023.xlsx,MoF_Web_Crawl\2023__82b22e496b__Quarterly_Budget__Performance_Report_Q2_2023.xlsx,Debt,2023,,16,6,7,6,3,الدين العام | الدين الداخلي Domestic Debt | الدين الخارجي External Debt | Public Debt,البيان | Item
2023__82b22e496b__Quarterly_Budget__Performance_Report_Q2_2023.xlsx,MoF_Web_Crawl\2023__82b22e496b__Quarterly_Budget__Performance_Report_Q2_2023.xlsx,Appendix,2023,,26,4,9,4,5,,"ضرائب على التجارة والمعاملات (رسوم جمركية) ضرائب أخرى | هي رسوم على السلع لأنها تدخل البلد المعني أو على خدمات، لأنها مقدمة من غير مقيمين إلى مقيمين. وقد تفرض هذه الرسوم لأغراض جباية الإيرادات أو لأغراض الحماية، وقد تحدد على أساس معين أو حسب القيمة. الضرائب الأخرى المدفوعة من شركات الأعمال فقط (زكاة الشركات والمنشآت) والضرائب غير المصنفة. | Taxes that are payable when goods or services cross the national or customs frontiers of the economic territory, provided from nonresidents to residents. These fees might be imposed for revenue collection or protection purposes and may be determined on a certain criteria or by value. Other taxes paid by businesses only (corporate Zakat) and unidentified taxes."
2023__Q3__de70d89bb6__Q3-2023_Quarterly_Budget_Performance_Tables.xlsx,MoF_Web_Crawl\2023__Q3__de70d89bb6__Q3-2023_Quarterly_Budget_Performance_Tables.xlsx,T.CONTENT,2023,,11,2,4,2,4,,الإيرادات المصروفات | Revenues Expenditures
2023__Q3__de70d89bb6__Q3-2023_Quarterly_Budget_Performance_Tables.xlsx,MoF_Web_Crawl\2023__Q3__de70d89bb6__Q3-2023_Quarterly_Budget_Performance_Tables.xlsx,INTRODUCTION,2023,,10,16,0,3,1,,
2023__Q3__de70d89bb6__Q3-2023_Quarterly_Budget_Performance_Tables.xlsx,MoF_Web_Crawl\2023__Q3__de70d89bb6__Q3-2023_Quarterly_Budget_Performance_Tables.xlsx,GOV.BUD,2023,,9,5,4,5,3,FY 2022 Budget | FY 2022 Actual | FY 2023 Budget,البيان | Items
2023__Q3__de70d89bb6__Q3-2023_Quarterly_Budget_Performance_Tables.xlsx,MoF_Web_Crawl\2023__Q3__de70d89bb6__Q3-2023_Quarterly_Budget_Performance_Tables.xlsx,Summary,2023,,102,32,4,7,6,Column_2 | Column_3 | Actual Performance of Non-oil Revenues of FY 2023,أداء الميزانية العامة للدولة للربع الثالث من السنة المالية الحالية 1444/ 1445هـ (2023م) النتائج الفعلية لأداء الإيرادات غير النفطية من السنة المالية 1445/1444هـ (2023م) | Column_6
2023__Q3__de70d89bb6__Q3-2023_Quarterly_Budget_Performance_Tables.xlsx,MoF_Web_Crawl\2023__Q3__de70d89bb6__Q3-2023_Quarterly_Budget_Performance_Tables.xlsx,Revenues,2023,,47,7,35,6,3,الإجمالي | Q3 | Q2,الإيرادات* | Q1 | Revenues*
2023__Q3__de70d89bb6__Q3-2023_Quarterly_Budget_Performance_Tables.xlsx,MoF_Web_Crawl\2023__Q3__de70d89bb6__Q3-2023_Quarterly_Budget_Performance_Tables.xlsx,Expenditures,2023,,68,7,52,7,3,Total | Q3 | Q2 | Q1,المصروفات* | Column_7
2023__Q3__de70d89bb6__Q3-2023_Quarterly_Budget_Performance_Tables.xlsx,MoF_Web_Crawl\2023__Q3__de70d89bb6__Q3-2023_Quarterly_Budget_Performance_Tables.xlsx,Financing,2023,,16,6,8,6,3,الإجمالي | Q3 2023 | Q2 2023 | Q1 2023,البيان | Item
2023__Q3__de70d89bb6__Q3-2023_Quarterly_Budget_Performance_Tables.xlsx,MoF_Web_Crawl\2023__Q3__de70d89bb6__Q3-2023_Quarterly_Budget_Performance_Tables.xlsx,Gov.Reserve,2023,,13,3,3,3,2,Column_2,(مليون ريال) | (SAR Million)
2023__Q3__de70d89bb6__Q3-2023_Quarterly_Budget_Performance_Tables.xlsx,MoF_Web_Crawl\2023__Q3__de70d89bb6__Q3-2023_Quarterly_Budget_Performance_Tables.xlsx,Debt,2023,,16,6,7,6,3,الدين العام | الدين الداخلي Domestic Debt | الدين الخارجي External Debt | Public Debt,البيان | Item
2023__Q3__de70d89bb6__Q3-2023_Quarterly_Budget_Performance_Tables.xlsx,MoF_Web_Crawl\2023__Q3__de70d89bb6__Q3-2023_Quarterly_Budget_Performance_Tables.xlsx,Appendix,2023,,26,4,9,4,5,,"ضرائب على التجارة والمعاملات (رسوم جمركية) ضرائب أخرى | هي رسوم على السلع لأنها تدخل البلد المعني أو على خدمات، لأنها مقدمة من غير مقيمين إلى مقيمين. وقد تفرض هذه الرسوم لأغراض جباية الإيرادات أو لأغراض الحماية، وقد تحدد على أساس معين أو حسب القيمة. الضرائب الأخرى المدفوعة من شركات الأعمال فقط (زكاة الشركات والمنشآت) والضرائب غير المصنفة. | Taxes that are payable when goods or services cross the national or customs frontiers of the economic territory, provided from nonresidents to residents. These fees might be imposed for revenue collection or protection purposes and may be determined on a certain criteria or by value. Other taxes paid by businesses only (corporate Zakat) and unidentified taxes."
2023__Q4__05b025b90b__Q4-2023_Quarterly_Budget_Performance_Table_Final.xlsx,MoF_Web_Crawl\2023__Q4__05b025b90b__Q4-2023_Quarterly_Budget_Performance_Table_Final.xlsx,T.CONTENT,2023,End-Year/Annual,11,2,4,2,4,,الإيرادات المصروفات | Revenues Expenditures
2023__Q4__05b025b90b__Q4-2023_Quarterly_Budget_Performance_Table_Final.xlsx,MoF_Web_Crawl\2023__Q4__05b025b90b__Q4-2023_Quarterly_Budget_Performance_Table_Final.xlsx,INTRODUCTION,2023,End-Year/Annual,10,16,0,3,1,,
2023__Q4__05b025b90b__Q4-2023_Quarterly_Budget_Performance_Table_Final.xlsx,MoF_Web_Crawl\2023__Q4__05b025b90b__Q4-2023_Quarterly_Budget_Performance_Table_Final.xlsx,GOV.BUD,2023,End-Year/Annual,9,6,4,6,3,FY 2022 Budget | FY 2022 Actual | FY 2023 Budget | FY 2023 Actual,البيان | Items
