source_file,source_relative_path,sheet_name,source_sha256,file_year_guess,file_period_guess,year,period,row_number_in_cleaned_table,label,category,value_column,value,raw_value,unit,label_columns_used,normalized_indicator,period_order
2022__f8ab4c97b2__Quarterly_Budget_Performance_Report_Q4_2022.xlsx,MoF_Web_Crawl\2022__f8ab4c97b2__Quarterly_Budget_Performance_Report_Q4_2022.xlsx,Expenditures,88426432ee24926c79d72d31cca91bdf1db43b18e1033104f13838c415335b68,2022,,2022,Q1,49,الإجمالـــــــــــي | Total,Expenditure,Q1,0.12,0.12,unspecified,المصروفات* | Expenditures*,total_expenditure,1
2023__2447c0413f__Quarterly_Budget_Performance_Report_Q1_2023.xlsx,MoF_Web_Crawl\2023__2447c0413f__Quarterly_Budget_Performance_Report_Q1_2023.xlsx,Expenditures,ca3b02390734746828aafdb87b9144ca2240fdddf506d0c5faecb2aa760f933b,2023,,2022,Q1,26,الإجمالـــــــــــي | Total,Expenditure,Actual expenditures in Q1 of FY 2022 Vs. Q1 of FY 2023,220467.21839988985,220467.21839988985,unspecified,المصروفات الفعلية للربع الأول من السنة المالية 1444/ 1445هـ (2023م) | Column_7,total_expenditure,1
2022__9395abcacb__Quarterly_Budget_Performance_Report_Q3_2022.xlsx,MoF_Web_Crawl\2022__9395abcacb__Quarterly_Budget_Performance_Report_Q3_2022.xlsx,Expenditures,b4d12a74e619cb2343f16a110f3a56af86aa312d38f8c147590071cf711c0de3,2022,,2022,Q1,9,الإجمالي,Expenditure,Q1,220467.0,220467,unspecified,المصروفات* | Column_7,total_expenditure,1
2022__f8ab4c97b2__Quarterly_Budget_Performance_Report_Q4_2022.xlsx,MoF_Web_Crawl\2022__f8ab4c97b2__Quarterly_Budget_Performance_Report_Q4_2022.xlsx,Expenditures,88426432ee24926c79d72d31cca91bdf1db43b18e1033104f13838c415335b68,2022,,2022,Q1,9,الإجمالي | Total,Expenditure,Q1,220467.0,220467,unspecified,المصروفات* | Expenditures*,total_expenditure,1
2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,MoF_Web_Crawl\2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,Expenditures,8edf985ea057843bccc812e75e542ed16e072e551f2ca6dc0d134f545f01aa98,2022,,2022,Q1,17,الإدارة العامة | Public Administration,Expenditure,Actual expenditures in Q1 of FY 2022 Vs. Q1 of FY 2021,7093.803346992508,7093.803346992508,unspecified,المصروفات الفعلية للربع الأول من السنة المالية 1443/ 1444هـ (2022م) | Column_7,total_expenditure,1
2022__9395abcacb__Quarterly_Budget_Performance_Report_Q3_2022.xlsx,MoF_Web_Crawl\2022__9395abcacb__Quarterly_Budget_Performance_Report_Q3_2022.xlsx,Expenditures,b4d12a74e619cb2343f16a110f3a56af86aa312d38f8c147590071cf711c0de3,2022,,2022,Q1,40,الإدارة العامة | Public Administration,Expenditure,Q1,21964.49263551754,21964.49263551754,unspecified,المصروفات* | Column_7,total_expenditure,1
2022__f8ab4c97b2__Quarterly_Budget_Performance_Report_Q4_2022.xlsx,MoF_Web_Crawl\2022__f8ab4c97b2__Quarterly_Budget_Performance_Report_Q4_2022.xlsx,Expenditures,88426432ee24926c79d72d31cca91bdf1db43b18e1033104f13838c415335b68,2022,,2022,Q1,40,الإدارة العامة | Public Administration,Expenditure,Q1,0.2,0.2,unspecified,المصروفات* | Expenditures*,total_expenditure,1
2023__2447c0413f__Quarterly_Budget_Performance_Report_Q1_2023.xlsx,MoF_Web_Crawl\2023__2447c0413f__Quarterly_Budget_Performance_Report_Q1_2023.xlsx,Expenditures,ca3b02390734746828aafdb87b9144ca2240fdddf506d0c5faecb2aa760f933b,2023,,2022,Q1,17,الإدارة العامة | Public Administration,Expenditure,Actual expenditures in Q1 of FY 2022 Vs. Q1 of FY 2023,7788.77158925501,7788.77158925501,unspecified,المصروفات الفعلية للربع الأول من السنة المالية 1444/ 1445هـ (2023م) | Column_7,total_expenditure,1
2022__9395abcacb__Quarterly_Budget_Performance_Report_Q3_2022.xlsx,MoF_Web_Crawl\2022__9395abcacb__Quarterly_Budget_Performance_Report_Q3_2022.xlsx,Expenditures,b4d12a74e619cb2343f16a110f3a56af86aa312d38f8c147590071cf711c0de3,2022,,2022,Q1,4,الإعانات,Expenditure,Q1,4876.0,4876,unspecified,المصروفات* | Column_7,total_expenditure,1
2022__f8ab4c97b2__Quarterly_Budget_Performance_Report_Q4_2022.xlsx,MoF_Web_Crawl\2022__f8ab4c97b2__Quarterly_Budget_Performance_Report_Q4_2022.xlsx,Expenditures,88426432ee24926c79d72d31cca91bdf1db43b18e1033104f13838c415335b68,2022,,2022,Q1,4,الإعانات | Subsidies,Expenditure,Q1,4876.0,4876,unspecified,المصروفات* | Expenditures*,total_expenditure,1
2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,MoF_Web_Crawl\2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,Expenditures,8edf985ea057843bccc812e75e542ed16e072e551f2ca6dc0d134f545f01aa98,2022,,2022,Q1,25,البنود العامة | General Items,Expenditure,Actual expenditures in Q1 of FY 2022 Vs. Q1 of FY 2021,31232.4883403,31232.4883403,unspecified,المصروفات الفعلية للربع الأول من السنة المالية 1443/ 1444هـ (2022م) | Column_7,total_expenditure,1
