observation_id,year,period,period_order,n_long_records,n_unique_labels,n_source_files,n_source_sheets,n_categories,n_indicators,debt_public_debt__value_mean,expenditure_total_expenditure__value_mean,non_oil_revenue_total_revenue__value_mean,oil_revenue_total_revenue__value_mean,other_other__value_mean,other_total_revenue__value_mean,revenue_total_revenue__value_mean,surplus_deficit_surplus_deficit__value_mean,debt_public_debt__value_median,expenditure_total_expenditure__value_median,non_oil_revenue_total_revenue__value_median,oil_revenue_total_revenue__value_median,other_other__value_median,other_total_revenue__value_median,revenue_total_revenue__value_median,surplus_deficit_surplus_deficit__value_median,debt_public_debt__value_sum,expenditure_total_expenditure__value_sum,non_oil_revenue_total_revenue__value_sum,oil_revenue_total_revenue__value_sum,other_other__value_sum,other_total_revenue__value_sum,revenue_total_revenue__value_sum,surplus_deficit_surplus_deficit__value_sum,debt_public_debt__value_count,expenditure_total_expenditure__value_count,non_oil_revenue_total_revenue__value_count,oil_revenue_total_revenue__value_count,other_other__value_count,other_total_revenue__value_count,revenue_total_revenue__value_count,surplus_deficit_surplus_deficit__value_count,debt_public_debt__source_file_count,expenditure_total_expenditure__source_file_count,non_oil_revenue_total_revenue__source_file_count,oil_revenue_total_revenue__source_file_count,other_other__source_file_count,other_total_revenue__source_file_count,revenue_total_revenue__source_file_count,surplus_deficit_surplus_deficit__source_file_count,debt_public_debt__sheet_count,expenditure_total_expenditure__sheet_count,non_oil_revenue_total_revenue__sheet_count,oil_revenue_total_revenue__sheet_count,other_other__sheet_count,other_total_revenue__sheet_count,revenue_total_revenue__sheet_count,surplus_deficit_surplus_deficit__sheet_count,category__debt__category_value_mean,category__expenditure__category_value_mean,category__non_oil_revenue__category_value_mean,category__oil_revenue__category_value_mean,category__other__category_value_mean,category__revenue__category_value_mean,category__surplus_deficit__category_value_mean,category__debt__category_value_sum,category__expenditure__category_value_sum,category__non_oil_revenue__category_value_sum,category__oil_revenue__category_value_sum,category__other__category_value_sum,category__revenue__category_value_sum,category__surplus_deficit__category_value_sum,category__debt__category_value_count,category__expenditure__category_value_count,category__non_oil_revenue__category_value_count,category__oil_revenue__category_value_count,category__other__category_value_count,category__revenue__category_value_count,category__surplus_deficit__category_value_count
2023__q3,2023,Q3,3,210,70,3,6,7,5,269357.25,111478.22649815849,174131.93857777744,278130.630196913,58170.39944381859,,95654.74935201126,-39861.5,69394.5,28208.66137683,111533.34581111991,147006.0,25141.7115064465,,16445.690097489998,-39861.5,3232287.0,12151126.688299276,1567187.447199997,2503175.6717722174,581703.9944381859,,5643630.211768664,-79723.0,12.0,109.0,9.0,9.0,10.0,,59.0,2.0,1.0,3.0,3.0,3.0,2.0,,3.0,2.0,1.0,1.0,1.0,1.0,3.0,,1.0,1.0,269357.25,111478.22649815849,174131.93857777744,278130.630196913,58170.39944381859,95654.74935201126,-39861.5,3232287.0,12151126.688299276,1567187.447199997,2503175.6717722174,581703.9944381859,5643630.211768664,-79723.0,12.0,109.0,9.0,9.0,10.0,59.0,2.0
2023__q4,2023,Q4,4,152,60,2,6,7,5,279317.836054485,148351.15399449418,188833.50254700924,334591.0020749592,72361.2148025566,,109682.03381817356,-58970.8901500178,94616.258163455,37789.20368825,108772.59600847703,249211.041478688,36995.289134095,,6559.566488010001,-58970.8901500178,3351814.0326538202,11571390.011570545,1133001.0152820554,2007546.0124497553,651250.9332230093,,4277599.318908769,-117941.7803000356,12.0,78.0,6.0,6.0,9.0,,39.0,2.0,1.0,2.0,2.0,2.0,2.0,,2.0,2.0,1.0,1.0,1.0,1.0,3.0,,1.0,1.0,279317.836054485,148351.15399449418,188833.50254700924,334591.0020749592,72361.2148025566,109682.03381817356,-58970.8901500178,3351814.0326538202,11571390.011570545,1133001.0152820554,2007546.0124497553,651250.9332230093,4277599.318908769,-117941.7803000356,12.0,78.0,6.0,6.0,9.0,39.0,2.0
2023__end_year_annual,2023,End-Year/Annual,5,94,61,4,7,7,5,279317.836054485,198565.66737052207,152575.94108836705,251520.64316412644,85458.09201270204,3.5,248790.40250441604,-32473.245582970383,94616.258163455,13848.14299359,0.11,0.2833640672853514,46281.83600735503,3.5,0.3140763351945135,-32473.24558297044,3351814.0326538202,8339758.029561927,457727.8232651012,754561.9294923793,598206.6440889143,7.0,5224598.452592737,-129892.98233188153,12.0,42.0,3.0,3.0,7.0,2.0,21.0,4.0,1.0,3.0,1.0,1.0,1.0,2.0,3.0,3.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,2.0,279317.836054485,198565.66737052207,152575.94108836705,251520.64316412644,66468.18267654603,248790.40250441604,-32473.245582970383,3351814.0326538202,8339758.029561927,457727.8232651012,754561.9294923793,598213.6440889143,5224598.452592737,-129892.98233188153,12.0,42.0,3.0,3.0,9.0,21.0,4.0
2023__column_2,2023,Column_2,90,81,50,3,3,5,3,,87531.39250708972,0.10649713437517572,-0.16141760081677556,222470.77800788125,,0.16540149634249687,,,0.9028656923023984,0.1080995590316649,-0.174440133004752,230017.0742062,,0.06532851346381245,,,4464101.017861576,0.31949140312552715,-0.48425280245032665,1334824.6680472875,,2.9772269341649436,,,51.0,3.0,3.0,6.0,,18.0,,,2.0,2.0,2.0,3.0,,2.0,,,1.0,1.0,1.0,1.0,,1.0,,,87531.39250708972,0.10649713437517572,-0.16141760081677556,222470.77800788125,0.16540149634249687,,,4464101.017861576,0.31949140312552715,-0.48425280245032665,1334824.6680472875,2.9772269341649436,,,51.0,3.0,3.0,6.0,18.0,
2023__column_3,2023,Column_3,90,83,53,3,3,5,3,,76317.44424302764,158281.2618182287,238896.8001373247,3.0,,79447.80815815934,,,27116.11274896,135083.12795419604,179739.739495987,3.0,,22623.86164669,,,4197459.43336652,474843.7854546861,716690.400411974,3.0,,1668403.9713213462,,,55.0,3.0,3.0,1.0,,21.0,,,2.0,2.0,2.0,1.0,,2.0,,,1.0,1.0,1.0,1.0,,1.0,,,76317.44424302764,158281.2618182287,238896.8001373247,3.0,79447.80815815934,,,4197459.43336652,474843.7854546861,716690.400411974,3.0,1668403.9713213462,,,55.0,3.0,3.0,1.0,21.0,
2023__column_4,2023,Column_4,90,78,49,2,2,4,2,,40269.301925958396,142840.44196229603,289375.335782604,,,82247.26948198039,,,1701.83684198,120001.0,250364.0,,,19847.0,,,2053734.3982238784,428521.3258868881,868126.007347812,,,1727192.659121588,,,51.0,3.0,3.0,,,21.0,,,2.0,2.0,2.0,,,2.0,,,1.0,1.0,1.0,,,1.0,,,40269.301925958396,142840.44196229603,289375.335782604,,82247.26948198039,,,2053734.3982238784,428521.3258868881,868126.007347812,,1727192.659121588,,,51.0,3.0,3.0,,21.0,
2023__column_6,2023,Column_6,90,20,20,2,1,1,1,,0.23998178769413353,,,,,,,,0.24155916858013232,,,,,,,,4.79963575388267,,,,,,,,20.0,,,,,,,,2.0,,,,,,,,1.0,,,,,,,,0.23998178769413353,,,,,,,4.79963575388267,,,,,,,20.0,,,,,
2023__domestic_debt,2023,الدين الداخلي Domestic Debt,90,12,6,3,1,1,1,304874.544758485,,,,,,,,62443.5,,,,,,,,3658494.53710182,,,,,,,,12.0,,,,,,,,3.0,,,,,,,,1.0,,,,,,,,304874.544758485,,,,,,,3658494.53710182,,,,,,,12.0,,,,,,
2023__external_debt,2023,الدين الخارجي External Debt,90,8,5,2,1,1,1,165048.0,,,,,,,,69191.5,,,,,,,,1320384.0,,,,,,,,8.0,,,,,,,,2.0,,,,,,,,1.0,,,,,,,,165048.0,,,,,,,1320384.0,,,,,,,8.0,,,,,,
2023__public_debt,2023,Public Debt,90,1,1,1,1,1,1,2023.0,,,,,,,,2023.0,,,,,,,,2023.0,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,2023.0,,,,,,,2023.0,,,,,,,1.0,,,,,,
