panel_observation_id,year,period,period_order,year_period_key,category,normalized_indicator,panel_entity,unit_mode,value_mean,value_median,value_sum,value_min,value_max,value_std,value_count,n_source_files,n_source_sheets,n_value_columns,n_raw_labels,value_winsorized,value_lag_1,value_lag_2,value_lag_4,value_change_lag_1,value_change_lag_2,value_change_lag_4,value_pct_change_lag_1,value_pct_change_lag_2,value_pct_change_lag_4,value_rolling_mean_2,value_rolling_std_2,value_rolling_mean_4,value_rolling_std_4,value_robust_z_by_entity,value_abs_robust_z_by_entity,value_minmax_by_entity,value_robust_z_by_period,is_core_indicator,is_revenue_related,is_expenditure_related,is_debt_related,is_surplus_deficit_related,risk_component_entity_deviation_raw,risk_component_entity_deviation,risk_component_period_deviation_raw,risk_component_period_deviation,risk_component_temporal_change_raw,risk_component_temporal_change,risk_component_rolling_instability_raw,risk_component_rolling_instability,risk_component_source_uncertainty_raw,risk_component_source_uncertainty,panel_fiscal_risk_score_0_100,panel_anomaly_threshold_quantile,panel_anomaly_threshold_value,panel_fiscal_anomaly_label,panel_fiscal_anomaly_label_q60,panel_fiscal_anomaly_label_q70,panel_fiscal_anomaly_label_q80,panel_fiscal_anomaly_label_q90,label_high_entity_deviation,label_high_period_deviation,label_high_temporal_change,label_high_rolling_instability,label_high_source_uncertainty,panel_multi_component_anomaly_label,panel_risk_level,panel_traceability_index_0_1,panel_interpretability_index_0_1,panel_audit_readiness_index_0_1,panel_governance_alignment_index_0_1,panel_risk_signal_completeness_0_1,panel_temporal_support_index_0_1,panel_decision_usability_index_0_1,panel_interpretability_score_1_5,panel_decision_usability_score_1_5
2024__q3__non_oil_revenue_non_oil_revenue_111511_75445118701_non_oil_revenues,2024,Q3,3,2024__q3,Non-oil revenue,non_oil_revenue,non_oil_revenue_non_oil_revenue_111511_75445118701_non_oil_revenues,unspecified,118342.177651155,118342.177651155,118342.177651155,118342.177651155,118342.177651155,,1,1,1,1,1,118342.177651155,140602.063598188,,,-22259.88594703299,,,-0.1583183445347374,,,129472.12062467149,15740.116301586157,129472.12062467149,15740.116301586157,-0.6745,0.6745,0.0,0.9886128468668502,1,1,0,0,0,0.6745,9.59789745716047e-07,0.9886128468668502,0.018302260123135097,0.008477643258491435,0.014782750802181652,0.019407313546230414,0.019407313546230414,1.0,1.0,15.952838715392161,0.75,16.43839004488965,0,1,0,0,0,0,0,0,0,1,0,high,0.0,0.9703389830508474,1.0,0.6396186440677966,1.0,1.0,0.8738665254237288,4.881355932203389,4.495466101694915
2024__q4__non_oil_revenue_non_oil_revenue_111511_75445118701_non_oil_revenues,2024,Q4,4,2024__q4,Non-oil revenue,non_oil_revenue,non_oil_revenue_non_oil_revenue_111511_75445118701_non_oil_revenues,unspecified,317243.492021447,317243.492021447,634486.984042894,132015.49417118198,502471.489871712,261951.94669105927,2,1,1,2,1,317243.492021447,118342.177651155,140602.063598188,,198901.314370292,176641.428423259,,1.6807305587751349,1.2563217345661737,,217792.834836301,140644.46817815077,192062.57775693,108979.68435753977,5.352437283595737,5.352437283595737,1.0,2.020963142606944,1,1,0,0,0,5.352437283595737,7.616329754460254e-06,2.020963142606944,0.03741423475578459,0.07575126294329149,0.13209001710700455,0.1514249022456127,0.1514249022456127,0.9969072164948454,0.9969072164948454,20.615295308255288,0.75,16.43839004488965,1,1,1,1,1,1,1,1,1,0,1,high,0.003092783505154639,0.9872881355932204,1.0,0.6466333216844312,1.0,1.0,0.8763216625895509,4.9491525423728815,4.505286650358204
2022__q1__non_oil_revenue_non_oil_revenue_120000_5_non_oil_revenues,2022,Q1,1,2022__q1,Non-oil revenue,non_oil_revenue,non_oil_revenue_non_oil_revenue_120000_5_non_oil_revenues,unspecified,94259.89162156,94259.89162156,94259.89162156,94259.89162156,94259.89162156,,1,1,1,1,1,94259.89162156,,,,,,,,,,94259.89162156,,94259.89162156,,0.0,0.0,0.1101058393295905,4.523248131461683,1,1,0,0,0,0.0,0.0,4.523248131461683,0.08373921516988576,0.0,0.0,0.0,0.0,1.0,1.0,16.674784303397715,0.75,16.43839004488965,1,1,1,0,0,0,1,0,0,1,1,high,0.0,0.9491525423728814,1.0,0.6322033898305084,1.0,0.2857142857142857,0.6569854721549636,4.796610169491526,3.6279418886198544
2022__q3__non_oil_revenue_non_oil_revenue_120000_5_non_oil_revenues,2022,Q3,3,2022__q3,Non-oil revenue,non_oil_revenue,non_oil_revenue_non_oil_revenue_120000_5_non_oil_revenues,unspecified,72845.0,72845.0,72845.0,72845.0,72845.0,,1,1,1,1,1,72845.0,94259.89162156,,,-21414.891621560004,,,-0.2271898604290543,,,83552.44581078,15142.61508398006,83552.44581078,15142.61508398006,-0.6745,0.6745,0.0,0.8200104016730779,1,1,0,0,0,0.6745,9.59789745716047e-07,0.8200104016730779,0.015180911033739078,0.00815582956646682,0.014221593477100192,0.01867060402946735,0.01867060402946735,1.0,1.0,15.868137944351165,0.75,16.43839004488965,0,1,0,0,0,0,0,0,0,1,0,high,0.0,0.9703389830508474,1.0,0.6396186440677966,1.0,1.0,0.8738665254237288,4.881355932203389,4.495466101694915
2022__q4__non_oil_revenue_non_oil_revenue_120000_5_non_oil_revenues,2022,Q4,4,2022__q4,Non-oil revenue,non_oil_revenue,non_oil_revenue_non_oil_revenue_120000_5_non_oil_revenues,unspecified,267338.69581078,267338.69581078,534677.39162156,123786.0,410891.39162156,203014.1693308245,2,1,1,2,1,267338.69581078,72845.0,94259.89162156,,194493.69581078,173078.80418921998,,2.669966309434827,1.8361871758149968,,170091.84790539,137527.81120583613,144814.52914411333,106647.91586717304,5.451423966493304,5.451423966493304,1.0,2.1461473906593347,1,1,0,0,0,5.451423966493304,7.757184318148216e-06,2.1461473906593347,0.039731779665741145,0.0740726431264047,0.12916295144877624,0.14812712706108536,0.14812712706108536,0.9969072164948454,0.9969072164948454,20.553642491158854,0.75,16.43839004488965,1,1,1,1,1,1,1,1,1,0,1,high,0.003092783505154639,0.9872881355932204,1.0,0.6466333216844312,1.0,1.0,0.8763216625895509,4.9491525423728815,4.505286650358204
2023__q1__non_oil_revenue_non_oil_revenue_135083_12795419604_non_oil_revenues,2023,Q1,1,2023__q1,Non-oil revenue,non_oil_revenue,non_oil_revenue_non_oil_revenue_135083_12795419604_non_oil_revenues,unspecified,102338.764773147,102338.764773147,102338.764773147,102338.764773147,102338.764773147,,1,1,1,1,1,102338.764773147,,,,,,,,,,102338.764773147,,102338.764773147,,-0.7087805548947623,0.7087805548947623,0.0,4.978501998472875,1,1,0,0,0,0.7087805548947623,1.0085697680517755e-06,4.978501998472875,0.092167362469922,0.0,0.0,0.0,0.0,1.0,1.0,16.843377506491482,0.75,16.43839004488965,1,1,1,0,0,0,1,0,0,1,1,high,0.0,0.9491525423728814,1.0,0.6322033898305084,1.0,0.2857142857142857,0.6569854721549636,4.796610169491526,3.6279418886198544
2023__q3__non_oil_revenue_non_oil_revenue_135083_12795419604_non_oil_revenues,2023,Q3,3,2023__q3,Non-oil revenue,non_oil_revenue,non_oil_revenue_non_oil_revenue_135083_12795419604_non_oil_revenues,unspecified,111533.34581111991,111533.34581111991,111533.34581111991,111533.34581111991,111533.34581111991,,1,1,1,1,1,111533.34581111991,102338.764773147,,,9194.581037972908,,,0.0898445575179104,,,106936.05529213346,6501.550602119888,106936.05529213346,6501.550602119888,-0.6402194451052373,0.6402194451052373,0.0258718734479518,1.1696086318228085,1,1,0,0,0,0.6402194451052373,9.110097233803179e-07,1.1696086318228085,0.02165304799520604,0.0035017423760714036,0.0061061055933267095,0.008016308688856937,0.008016308688856937,1.0,1.0,15.675455032395211,0.75,16.43839004488965,0,1,0,0,0,0,0,0,0,1,0,moderate,0.0,0.9703389830508474,1.0,0.6396186440677966,1.0,1.0,0.8738665254237288,4.881355932203389,4.495466101694915
2023__q4__non_oil_revenue_non_oil_revenue_135083_12795419604_non_oil_revenues,2023,Q4,4,2023__q4,Non-oil revenue,non_oil_revenue,non_oil_revenue_non_oil_revenue_135083_12795419604_non_oil_revenues,unspecified,283250.2152777085,283250.2152777085,566500.430555417,108772.59600847703,457727.83454694,246748.61550111644,2,2,1,2,1,283250.2152777085,111533.34581111991,102338.764773147,,171716.86946658857,180911.45050456148,,1.5396011678640804,1.7677705110627973,,197391.78054441416,121422.16284395,165707.4419539918,101898.7867964528,0.6402194451052377,0.6402194451052377,0.5090518136073025,2.310953375595109,1,1,0,0,0,0.6402194451052377,9.110097233803184e-07,2.310953375595109,0.04278284461568941,0.06539810975859403,0.11403687676131959,0.13615489469237224,0.13615489469237224,0.8802405498281787,0.8802405498281787,18.382353425640147,0.75,16.43839004488965,1,1,1,1,0,0,1,1,1,0,1,high,0.1197594501718213,0.9872881355932204,1.0,0.6874666550177646,1.0,1.0,0.8906133292562175,4.9491525423728815,4.56245331702487
2023__end_year_annual__non_oil_revenue_non_oil_revenue_135083_12795419604_non_oil_revenues,2023,End-Year/Annual,5,2023__end_year_annual,Non-oil revenue,non_oil_revenue,non_oil_revenue_non_oil_revenue_135083_12795419604_non_oil_revenues,unspecified,457727.83454694,457727.83454694,457727.83454694,457727.83454694,457727.83454694,,1,1,1,1,1,457727.83454694,283250.2152777085,111533.34581111991,,174477.6192692315,346194.48873582005,,0.6159840658838247,3.1039550209683062,,370489.02491232427,123374.30775055822,238712.54010222887,168051.23997239908,1.9412443815464977,1.9412443815464977,1.0,3.7278091830012503,1,1,0,0,0,1.9412443815464977,2.762322388935831e-06,3.7278091830012503,0.0690131972014417,0.06644952327783624,0.11587026176834195,0.18314147499801986,0.18314147499801986,1.0,1.0,21.444874174037636,0.75,16.43839004488965,1,1,1,1,1,1,1,1,1,1,1,high,0.0,0.9830508474576272,1.0,0.6440677966101696,1.0,1.0,0.8754237288135593,4.932203389830509,4.501694915254237
2022__q2__non_oil_revenue_non_oil_revenue_94259_89162155999_non_oil_revenues,2022,Q2,2,2022__q2,Non-oil revenue,non_oil_revenue,non_oil_revenue_non_oil_revenue_94259_89162155999_non_oil_revenues,unspecified,120001.0,120001.0,120001.0,120001.0,120001.0,,1,1,1,1,1,120001.0,,,,,,,,,,120001.0,,120001.0,,-0.6745,0.6745,0.0,3.3183297074638647,1,1,0,0,0,0.6745,9.59789745716047e-07,3.3183297074638647,0.06143247447452012,0.0,0.0,0.0,0.0,1.0,1.0,16.228678283182774,0.75,16.43839004488965,0,1,1,0,0,0,1,0,0,1,1,high,0.0,0.9491525423728814,1.0,0.6322033898305084,1.0,0.2857142857142857,0.6569854721549636,4.796610169491526,3.6279418886198544
2022__q3__non_oil_revenue_non_oil_revenue_94259_89162155999_non_oil_revenues,2022,Q3,3,2022__q3,Non-oil revenue,non_oil_revenue,non_oil_revenue_non_oil_revenue_94259_89162155999_non_oil_revenues,unspecified,179975.5,179975.5,359951.0,72845.0,287106.0,151505.40604381086,2,1,1,2,1,179975.5,120001.0,,,59974.5,,,0.4997833351388738,,,149988.25,42408.3756482726,149988.25,42408.3756482726,0.6745,0.6745,1.0,3.072644339217708,1,1,0,0,0,0.6745,9.59789745716047e-07,3.072644339217708,0.05688408373456546,0.02284119696949567,0.03982896101288482,0.05228885399718493,0.05228885399718493,0.9969072164948454,0.9969072164948454,17.67223074602183,0.75,16.43839004488965,1,1,1,1,0,0,1,1,1,0,1,high,0.003092783505154639,0.9745762711864407,1.0,0.6421841691420583,1.0,1.0,0.8747644591997203,4.898305084745763,4.499057836798881
2022__q1__non_oil_revenue_non_oil_revenue_non_oil_revenues,2022,Q1,1,2022__q1,Non-oil revenue,non_oil_revenue,non_oil_revenue_non_oil_revenue_non_oil_revenues,unspecified,60814.9210373302,88184.8026,182444.7631119906,0.068890430578114,94259.89162156,52754.728298910944,3,1,1,3,1,60814.9210373302,,,,,,,,,,60814.9210373302,,60814.9210373302,,-1.0379552843896735,1.0379552843896735,0.3079603139668279,2.6790010145765044,1,1,0,0,0,1.0379552843896735,1.476973815372857e-06,2.6790010145765044,0.04959653679831837,0.0,0.0,0.0,0.0,0.9938144329896907,0.9938144329896907,15.89919154002619,0.75,16.43839004488965,0,1,0,0,0,0,1,0,0,0,0,high,0.006185567010309278,0.9533898305084746,1.0,0.6358513891315744,1.0,0.2857142857142857,0.6582622719103367,4.813559322033898,3.633049087641347
2022__q2__non_oil_revenue_non_oil_revenue_non_oil_revenues,2022,Q2,2,2022__q2,Non-oil revenue,non_oil_revenue,non_oil_revenue_non_oil_revenue_non_oil_revenues,unspecified,197476.5,197476.5,394953.0,95406.0,299547.0,144349.485418203,2,1,1,1,1,197476.5,60814.9210373302,,,136661.5789626698,,,2.247171855715844,,,129145.7105186651,96634.32921216464,129145.7105186651,96634.32921216464,0.9134744980868632,0.9134744980868632,1.0,5.896259989640373,1,1,0,0,0,0.9134744980868632,1.299842040380851e-06,5.896259989640373,0.10915788159747261,0.05204737038139679,0.0907567448637785,0.11914859397583638,0.11914859397583638,0.9969072164948454,0.9969072164948454,20.73916868154646,0.75,16.43839004488965,1,1,1,1,1,0,1,1,1,0,1,high,0.003092783505154639,0.9745762711864407,1.0,0.6421841691420583,1.0,1.0,0.8747644591997203,4.898305084745763,4.499057836798881
2022__q3__non_oil_revenue_non_oil_revenue_non_oil_revenues,2022,Q3,3,2022__q3,Non-oil revenue,non_oil_revenue,non_oil_revenue_non_oil_revenue_non_oil_revenues,unspecified,144498.95333333334,88296.5,866993.72,-0.24,403295.0,164843.60388167092,6,2,1,2,1,144498.95333333334,197476.5,60814.9210373302,,-52977.54666666666,83684.03229600313,,-0.2682726636671536,1.37604441259794,,170987.72666666668,37460.78249862683,134263.4581235545,68903.3439884057,0.156992953291354,0.156992953291354,0.7317273439960591,2.326678689769426,1,1,0,0,0,0.156992953291354,2.2339544361559656e-07,2.326678689769426,0.04307396847822924,0.020176415418630394,0.035182292073467535,0.06802173719537118,0.06802173719537118,0.8678694158075602,0.8678694158075602,15.603499207941212,0.75,16.43839004488965,0,1,0,0,0,0,1,1,1,0,1,moderate,0.13213058419243984,0.9872881355932204,1.0,0.691796551924981,1.0,1.0,0.8921287931737434,4.9491525423728815,4.5685151726949735
2022__q4__non_oil_revenue_non_oil_revenue_non_oil_revenues,2022,Q4,4,2022__q4,Non-oil revenue,non_oil_revenue,non_oil_revenue_non_oil_revenue_non_oil_revenues,unspecified,133669.30299398015,61893.0965705363,534677.2119759206,0.0188348479400934,410891.0,193807.85796371603,4,1,1,2,1,133669.30299398015,144498.95333333334,197476.5,,-10829.65033935319,-63807.19700601985,,-0.0749462199519958,-0.3231128615608432,,139084.12816365674,7657.719192835997,134114.91934116092,56260.12913484299,0.0023532779236804,0.0023532779236804,0.6768871476688807,0.704700203199434,1,1,0,0,0,0.0023532779236804,3.34863160855211e-09,0.704700203199434,0.013046165107663522,0.004124455611937378,0.0071919515420585675,0.04319054400459286,0.04319054400459286,0.9907216494845361,0.9907216494845361,15.913445335790325,0.75,16.43839004488965,0,1,0,0,0,0,0,0,1,0,0,high,0.009278350515463918,0.9872881355932204,1.0,0.6487982701380395,1.0,1.0,0.8770793945483137,4.9491525423728815,4.508317578193255
2022__end_year_annual__non_oil_revenue_non_oil_revenue_non_oil_revenues,2022,End-Year/Annual,5,2022__end_year_annual,Non-oil revenue,non_oil_revenue,non_oil_revenue_non_oil_revenue_non_oil_revenues,unspecified,109059.68,117978.5,654358.08,0.03,214260.0,93875.2859998722,6,1,1,3,1,109059.68,133669.30299398015,144498.95333333334,60814.9210373302,-24609.62299398016,-35439.273333333345,48244.7589626698,-0.1841082615287405,-0.2452562632172238,0.7933046387260057,121364.49149699009,17401.631301487825,146176.10908182838,37276.41106681888,-0.349054569186665,0.349054569186665,0.5522666369194704,2.421019198000147,1,1,0,0,0,0.349054569186665,4.966923590818287e-07,2.421019198000147,0.044820501033677594,0.00937253712437263,0.016343207241590347,0.03525664868822141,0.03525664868822141,0.9845360824742269,0.9845360824742269,16.520180033712855,0.75,16.43839004488965,1,1,1,0,0,0,1,0,0,0,0,high,0.015463917525773195,1.0,1.0,0.6554123711340205,1.0,1.0,0.8793943298969071,5.0,4.5175773195876285
2023__q1__non_oil_revenue_non_oil_revenue_non_oil_revenues,2023,Q1,1,2023__q1,Non-oil revenue,non_oil_revenue,non_oil_revenue_non_oil_revenue_non_oil_revenues,unspecified,65532.91403439961,94259.89162156,196598.74210319883,0.0857084918368307,102338.764773147,56896.66720594919,3,1,1,3,1,65532.91403439961,109059.68,133669.30299398015,197476.5,-43526.76596560038,-68136.38895958054,-131943.5859656004,-0.3991096064613465,-0.5097384921850687,-0.6681482908882849,87296.2970171998,30778.07137739589,113190.21259042827,35061.42132411984,-0.9705857126498952,0.9705857126498952,0.3318517281973812,2.94541562848546,1,1,0,0,0,0.9705857126498952,1.3811092873830557e-06,2.94541562848546,0.054528689541244464,0.01657710304827217,0.028906050409615844,0.04092315976484674,0.04092315976484674,0.9938144329896907,0.9938144329896907,17.18980012361389,0.75,16.43839004488965,1,1,1,1,0,0,1,1,1,0,1,high,0.006185567010309278,1.0,1.0,0.6521649484536083,1.0,1.0,0.8782577319587628,5.0,4.513030927835051
2023__q2__non_oil_revenue_non_oil_revenue_non_oil_revenues,2023,Q2,2,2023__q2,Non-oil revenue,non_oil_revenue,non_oil_revenue_non_oil_revenue_non_oil_revenues,unspecified,133339.69576990668,127542.06397709802,1066717.5661592537,0.1080995590316649,287105.877429475,107187.9280464101,8,2,1,4,1,133339.69576990668,65532.91403439961,109059.68,144498.95333333334,67806.78173550707,24280.01576990669,-11159.257563426654,1.0346981014748384,0.2226305429275667,-0.0772272553260938,99436.30490215316,47946.63517561321,110400.39819957162,32054.859038603656,-0.0023532779236808,0.0023532779236808,0.6752180517781887,2.901807742194908,1,1,0,0,0,0.0023532779236808,3.3486316085526785e-09,2.901807742194908,0.05372137363306138,0.025824116403352373,0.04503037764592384,0.04808245743527378,0.04808245743527378,0.8616838487972509,0.8616838487972509,15.621529719526523,0.75,16.43839004488965,0,1,0,0,0,0,1,1,1,0,1,moderate,0.13831615120274912,1.0,1.0,0.6984106529209622,1.0,1.0,0.8944437285223368,5.0,4.577774914089347
2023__q3__non_oil_revenue_non_oil_revenue_non_oil_revenues,2023,Q3,3,2023__q3,Non-oil revenue,non_oil_revenue,non_oil_revenue_non_oil_revenue_non_oil_revenues,unspecified,124395.78280785284,55766.765,995166.2624628226,0.2154235282911638,410891.0,166720.1052364173,8,3,1,2,1,124395.78280785284,133339.69576990668,65532.91403439961,133669.30299398015,-8943.912962053859,58862.868773453214,-9273.520186127324,-0.0670761464574482,0.8982183936236202,-0.0693765881800473,128867.73928887976,6324.301505810738,108082.01815303978,30085.82877810354,-0.1300659698046767,0.1300659698046767,0.6299270287624331,1.3862062214557167,1,1,0,0,0,0.1300659698046767,1.8507929441829753e-07,1.3862062214557167,0.025662934615705794,0.003406275518890077,0.005939636833490011,0.024297369127853734,0.024297369127853734,0.7450171821305842,0.7450171821305842,12.171775250239318,0.75,16.43839004488965,0,0,0,0,0,0,0,0,0,0,0,low,0.2549828178694158,1.0,1.0,0.7392439862542954,1.0,1.0,0.9087353951890034,5.0,4.6349415807560135
2023__q4__non_oil_revenue_non_oil_revenue_non_oil_revenues,2023,Q4,4,2023__q4,Non-oil revenue,non_oil_revenue,non_oil_revenue_non_oil_revenue_non_oil_revenues,unspecified,141625.14618165957,54386.35300423852,566500.5847266383,-0.1212818388030089,457728.0,216883.7411322361,4,2,1,2,1,141625.14618165957,124395.78280785284,133339.69576990668,109059.68,17229.363373806744,8285.450411752885,32565.466181659576,0.1385044009122075,0.0621379129741709,0.2986022532035632,133010.4644947562,12182.999677145988,116223.38469845468,34518.25361624515,0.1159570388270396,0.1159570388270396,0.7171746905432006,0.8074892098522414,1,1,0,0,0,0.1159570388270396,1.650027825200743e-07,0.8074892098522414,0.014949105316786376,0.006561776722324879,0.01144199008474744,0.03053067070778572,0.03053067070778572,0.8740549828178694,0.8740549828178694,14.096611660998978,0.75,16.43839004488965,0,0,0,0,0,0,0,0,0,0,0,low,0.12594501718213058,1.0,1.0,0.6940807560137456,1.0,1.0,0.8929282646048109,5.0,4.571713058419244
2023__end_year_annual__non_oil_revenue_non_oil_revenue_non_oil_revenues,2023,End-Year/Annual,5,2023__end_year_annual,Non-oil revenue,non_oil_revenue,non_oil_revenue_non_oil_revenue_non_oil_revenues,unspecified,-0.0056409194015044,-0.0056409194015044,-0.0112818388030088,-0.1212818388030089,0.11,0.1635409565829015,2,1,1,1,1,-0.0056409194015044,141625.14618165957,124395.78280785284,65532.91403439961,-141625.15182257898,-124395.78844877223,-65532.91967531901,-1.0000000398299282,-1.0000000453465483,-1.0000000860776526,70812.57027037007,100144.10524031991,99840.15477962494,66930.91277252087,-1.906349020506834,1.906349020506834,0.0,-0.6745024302041115,1,1,0,0,0,1.906349020506834,2.712667519107916e-06,0.6745024302041115,0.012487111583069565,0.053937720708484384,0.09405301211189235,0.10041340865470146,0.10041340865470146,0.9969072164948454,0.9969072164948454,18.590693231168014,0.75,16.43839004488965,1,1,1,1,0,1,0,1,1,0,1,high,0.003092783505154639,1.0,1.0,0.6510824742268041,1.0,1.0,0.8778788659793815,5.0,4.511515463917526
2024__q1__non_oil_revenue_non_oil_revenue_non_oil_revenues,2024,Q1,1,2024__q1,Non-oil revenue,non_oil_revenue,non_oil_revenue_non_oil_revenue_non_oil_revenues,unspecified,192943.24408966655,140602.063598188,964716.2204483328,111511.754451187,348955.23853846296,104689.0126187071,5,2,1,2,1,192943.24408966655,-0.0056409194015044,141625.14618165957,133339.69576990668,192943.249730586,51318.09790800701,59603.548319759895,34204220.26932835,0.3623515970969052,0.4470052820775354,96471.6192243736,136431.48026866687,114741.0418595649,81847.5442578577,0.8487428400586117,0.8487428400586117,0.9770440747084292,9.316474148563886,1,1,0,0,0,0.8487428400586117,1.2077311707015128e-06,9.316474148563886,0.17247655018632893,0.5734821192575537,1.0,0.1303156803875918,0.1303156803875918,0.8709621993127148,0.8709621993127148,38.4687354311663,0.75,16.43839004488965,1,1,1,1,1,0,1,1,1,0,1,high,0.1290378006872852,1.0,1.0,0.6951632302405497,1.0,1.0,0.8933071305841924,5.0,4.57322852233677
2024__q2__non_oil_revenue_non_oil_revenue_non_oil_revenues,2024,Q2,2,2024__q2,Non-oil revenue,non_oil_revenue,non_oil_revenue_non_oil_revenue_non_oil_revenues,unspecified,174267.29588561726,135083.0,1568405.6629705557,0.0408568331928369,457727.83454694,155584.56804455403,9,3,1,3,1,174267.29588561726,192943.24408966655,-0.0056409194015044,124395.78280785284,-18675.94820404932,174267.30152653667,49871.51307776444,-0.0967950357223704,30893421.643297914,0.4009099983300733,183605.26998764192,13205.889620172253,127208.920129006,87417.4476187965,0.5820636327934431,0.5820636327934431,0.882471061359648,2.435631955445412,1,1,0,0,0,0.5820636327934431,8.282560505698699e-07,2.435631955445412,0.045091028054166066,0.007112705565499736,0.012402663181038753,0.0678139126977714,0.0678139126977714,0.7419243986254296,0.7419243986254296,13.295973342233628,0.75,16.43839004488965,0,0,0,0,0,0,1,0,1,0,1,low,0.2580756013745704,1.0,1.0,0.7403264604810996,1.0,1.0,0.9091142611683849,5.0,4.63645704467354
2024__q3__non_oil_revenue_non_oil_revenue_non_oil_revenues,2024,Q3,3,2024__q3,Non-oil revenue,non_oil_revenue,non_oil_revenue_non_oil_revenue_non_oil_revenues,unspecified,187214.2130736797,125178.83591116848,1123285.2784420785,0.06,502471.489871712,205354.92939594729,6,2,1,2,1,187214.2130736797,174267.29588561726,192943.24408966655,141625.14618165957,12946.917188062447,-5729.031015986868,45589.06689202014,0.0742934417055529,-0.0296928303606443,0.3218995222327538,180740.7544796485,9154.85293913998,138606.18685201104,92733.75382838176,0.766936367206557,0.766936367206557,0.9480328715914152,1.9733425702346603,1,1,0,0,0,0.766936367206557,1.091323440862224e-06,1.9733425702346603,0.03653263170406186,0.004930813198704616,0.008598024302986444,0.06932357447117984,0.06932357447117984,0.8678694158075602,0.8678694158075602,14.960540714025289,0.75,16.43839004488965,0,0,0,0,0,0,1,0,1,0,1,low,0.13213058419243984,1.0,1.0,0.6962457044673539,1.0,1.0,0.8936859965635737,5.0,4.574743986254295
2024__q4__non_oil_revenue_non_oil_revenue_non_oil_revenues,2024,Q4,4,2024__q4,Non-oil revenue,non_oil_revenue,non_oil_revenue_non_oil_revenue_non_oil_revenues,unspecified,0.1557175297346436,0.1557175297346436,0.3114350594692873,0.0977516592781808,0.2136834001911065,0.0819761201542916,2,1,1,1,1,0.1557175297346436,187214.2130736797,174267.29588561726,-0.0056409194015044,-187214.05735615,-174267.14016808753,0.1613584491361481,-0.99999916823874,-0.9999991064443334,28.604991075233823,93607.18439560472,132380.32948998088,138606.22719162333,92733.67343593467,-1.9063467164233767,1.9063467164233767,8.171020072106886e-07,-0.6744999506469551,1,1,0,0,0,1.9063467164233767,2.7126642404783006e-06,0.6744999506469551,0.012487065678851134,0.07130018038465573,0.12432851520630317,0.13569287230192506,0.13569287230192506,0.9969072164948454,0.9969072164948454,19.725394329581857,0.75,16.43839004488965,1,1,1,1,1,1,0,1,1,0,1,high,0.003092783505154639,1.0,1.0,0.6510824742268041,1.0,1.0,0.8778788659793815,5.0,4.511515463917526
2024__q1__non_oil_revenue_non_oil_revenue_unknown,2024,Q1,1,2024__q1,Non-oil revenue,non_oil_revenue,non_oil_revenue_non_oil_revenue_unknown,unspecified,111511.754451187,111511.754451187,111511.754451187,111511.754451187,111511.754451187,,1,1,1,1,1,111511.754451187,,,,,,,,,,111511.754451187,,111511.754451187,,-0.6744999999999999,0.6744999999999999,0.0,5.099782654987754,1,1,0,0,0,0.6744999999999999,9.597897457160468e-07,5.099782654987754,0.09441263991141462,0.0,0.0,0.0,0.0,1.0,1.0,16.888281591920663,0.75,16.43839004488965,1,1,1,0,0,0,1,0,0,1,1,high,0.0,0.9491525423728814,1.0,0.6322033898305084,1.0,0.2857142857142857,0.6569854721549636,4.796610169491526,3.6279418886198544
2024__q2__non_oil_revenue_non_oil_revenue_unknown,2024,Q2,2,2024__q2,Non-oil revenue,non_oil_revenue,non_oil_revenue_non_oil_revenue_unknown,unspecified,196357.94082378148,196357.94082378148,392715.88164756296,140602.063598188,252113.818049375,78850.71775444351,2,1,1,2,1,196357.94082378148,111511.754451187,,,84846.18637259449,,,0.760872132181679,,,153934.84763748423,59995.3137418792,153934.84763748423,59995.3137418792,0.6745000000000001,0.6745000000000001,1.0,2.834513592172002,1,1,0,0,0,0.6745000000000001,9.59789745716047e-07,2.834513592172002,0.05247555223554682,0.03231354162581235,0.056346205994436904,0.07397326949711183,0.07397326949711183,0.9969072164948454,0.9969072164948454,18.239671248171405,0.75,16.43839004488965,1,1,1,1,0,0,1,1,1,0,1,high,0.003092783505154639,0.9745762711864407,1.0,0.6421841691420583,1.0,1.0,0.8747644591997203,4.898305084745763,4.499057836798881
2023__q2__oil_revenue_oil_revenue_178605_46071_oil_revenues,2023,Q2,2,2023__q2,Oil revenue,oil_revenue,oil_revenue_oil_revenue_178605_46071_oil_revenues,unspecified,179739.739495987,179739.739495987,179739.739495987,179739.739495987,179739.739495987,,1,1,1,1,1,179739.739495987,,,,,,,,,,179739.739495987,,179739.739495987,,-0.6745,0.6745,0.0,4.15106406354165,1,1,0,0,0,0.6745,9.59789745716047e-07,4.15106406354165,0.07684894498338428,0.0,0.0,0.0,0.0,1.0,1.0,16.537007693360056,0.75,16.43839004488965,1,1,1,0,0,0,1,0,0,1,1,high,0.0,0.9491525423728814,1.0,0.6322033898305084,1.0,0.2857142857142857,0.6569854721549636,4.796610169491526,3.6279418886198544
