year,period,period_order,category,normalized_indicator,n_records,n_labels,n_source_files,n_source_sheets,value_mean,value_median,value_std,value_min,value_max
2023,Q4,4,Expenditure,total_expenditure,78,31,2,1,148351.15399449418,37789.20368825,284804.65623160684,-0.6746294998329101,1293236.091841193
2023,Q4,4,Non-oil revenue,non_oil_revenue,6,2,2,1,188833.50254700924,108772.59600847703,213889.7368659265,-0.1212818388030089,457728.0
2023,Q4,4,Oil revenue,oil_revenue,6,2,2,1,334591.0020749592,249211.041478688,343869.95365091285,-0.12,754562.0
2023,Q4,4,Other,other,6,4,2,3,92375.90700951144,41638.562570725015,148986.47582545638,0.0,390027.8257496781
2023,Q4,4,Revenue,total_revenue,39,15,2,1,109682.03381817356,6559.566488010001,276289.70185923803,-0.2313220769483362,1212290.0
2023,Q4,4,Surplus/Deficit,surplus_deficit,2,1,2,1,-58970.8901500178,-58970.8901500178,31078.192998018054,-80946.49116594065,-36995.28913409496
2023,End-Year/Annual,5,Debt,domestic_debt,7,7,1,2,345272.50340282294,87982.51632691,398080.7128446939,0.0,990084.0
2023,End-Year/Annual,5,Debt,external_debt,5,5,1,2,202477.2,101250.0,172657.16939559736,60000.0,405877.0
2023,End-Year/Annual,5,Debt,public_debt,2,1,1,1,1733.5,1733.5,409.414826307011,1444.0,2023.0
2023,End-Year/Annual,5,Expenditure,total_expenditure,42,31,3,2,198565.66737052207,13848.14299359,383765.9227038197,-0.6746294998329101,1293236.091841193
2023,End-Year/Annual,5,Non-oil revenue,non_oil_revenue,3,2,1,1,152575.94108836705,0.11,264269.2917480719,-0.1212818388030089,457727.83454694
2023,End-Year/Annual,5,Oil revenue,oil_revenue,3,2,1,1,251520.64316412644,0.2833640672853514,435646.39163528295,-0.12,754561.766128312
2023,End-Year/Annual,5,Other,non_oil_revenue,2,2,2,1,3.5,3.5,0.7071067811865476,3.0,4.0
2023,End-Year/Annual,5,Other,other,5,4,1,3,103452.03058459473,46281.83600735503,163786.77792402156,0.0,390027.8257496781
2023,End-Year/Annual,5,Revenue,total_revenue,21,13,3,2,248790.40250441604,0.3140763351945135,472663.702453713,-0.2313220769483362,1212290.0
2023,End-Year/Annual,5,Surplus/Deficit,surplus_deficit,4,2,3,2,-32473.245582970383,-32473.24558297044,55972.082771645444,-80946.49116594065,16000.0
