panel_observation_id,year,period,period_order,year_period_key,category,normalized_indicator,panel_entity,panel_fiscal_risk_score_0_100,panel_fiscal_anomaly_label,panel_multi_component_anomaly_label,panel_risk_level,panel_traceability_index_0_1,panel_interpretability_index_0_1,panel_interpretability_score_1_5,panel_audit_readiness_index_0_1,panel_governance_alignment_index_0_1,panel_risk_signal_completeness_0_1,panel_temporal_support_index_0_1,panel_decision_usability_index_0_1,panel_decision_usability_score_1_5
2022__q3__debt_domestic_debt_financing_from_domestic_borrowing,2022,Q3,3,2022__q3,Debt,domestic_debt,debt_domestic_debt_financing_from_domestic_borrowing,15.217145570951288,0,0,moderate,0.003092783505154639,0.978813559322034,4.915254237288136,1.0,0.6436672199895159,1.0,0.8571428571428571,0.8324263841391877,4.329705536556751
2022__end_year_annual__debt_domestic_debt_financing_from_domestic_borrowing,2022,End-Year/Annual,5,2022__end_year_annual,Debt,domestic_debt,debt_domestic_debt_financing_from_domestic_borrowing,15.249762845055914,0,0,moderate,0.0,0.9745762711864407,4.898305084745763,1.0,0.6411016949152541,1.0,0.8571428571428571,0.831528450363196,4.3261138014527845
2023__q1__debt_domestic_debt_financing_from_domestic_borrowing,2023,Q1,1,2023__q1,Debt,domestic_debt,debt_domestic_debt_financing_from_domestic_borrowing,15.249762845055914,0,0,moderate,0.0,0.9830508474576272,4.932203389830509,1.0,0.6440677966101696,1.0,0.8571428571428571,0.8325665859564164,4.330266343825666
2023__q2__debt_domestic_debt_financing_from_domestic_borrowing,2023,Q2,2,2023__q2,Debt,domestic_debt,debt_domestic_debt_financing_from_domestic_borrowing,15.208435228329552,0,0,moderate,0.003092783505154639,0.9872881355932204,4.9491525423728815,1.0,0.6466333216844312,1.0,0.8571428571428571,0.833464519732408,4.333858078929632
2023__q3__debt_domestic_debt_financing_from_domestic_borrowing,2023,Q3,3,2023__q3,Debt,domestic_debt,debt_domestic_debt_financing_from_domestic_borrowing,15.262374760144285,0,0,moderate,0.0,0.9830508474576272,4.932203389830509,1.0,0.6440677966101696,1.0,0.8571428571428571,0.8325665859564164,4.330266343825666
2023__q4__debt_domestic_debt_financing_from_domestic_borrowing,2023,Q4,4,2023__q4,Debt,domestic_debt,debt_domestic_debt_financing_from_domestic_borrowing,15.682394231373637,0,1,moderate,0.0,0.9830508474576272,4.932203389830509,1.0,0.6440677966101696,1.0,0.8571428571428571,0.8325665859564164,4.330266343825666
2023__end_year_annual__debt_domestic_debt_financing_from_domestic_borrowing,2023,End-Year/Annual,5,2023__end_year_annual,Debt,domestic_debt,debt_domestic_debt_financing_from_domestic_borrowing,15.301187803233873,0,1,moderate,0.0,0.9872881355932204,4.9491525423728815,1.0,0.645550847457627,1.0,1.0,0.8759427966101694,4.5037711864406775
2022__q1__debt_domestic_debt_issuances_or_borrowings,2022,Q1,1,2022__q1,Debt,domestic_debt,debt_domestic_debt_issuances_or_borrowings,15.824851411053459,0,1,high,0.0,0.9491525423728814,4.796610169491526,1.0,0.6322033898305084,1.0,0.2857142857142857,0.6569854721549636,3.6279418886198544
2022__q3__debt_domestic_debt_issuances_or_borrowings,2022,Q3,3,2022__q3,Debt,domestic_debt,debt_domestic_debt_issuances_or_borrowings,16.53249712296635,1,1,high,0.0,0.9703389830508474,4.881355932203389,1.0,0.6396186440677966,1.0,1.0,0.8738665254237288,4.495466101694915
2022__q4__debt_domestic_debt_issuances_or_borrowings,2022,Q4,4,2022__q4,Debt,domestic_debt,debt_domestic_debt_issuances_or_borrowings,15.700978275923797,0,0,moderate,0.0,0.9830508474576272,4.932203389830509,1.0,0.6440677966101696,1.0,1.0,0.8754237288135593,4.501694915254237
2022__end_year_annual__debt_domestic_debt_issuances_or_borrowings,2022,End-Year/Annual,5,2022__end_year_annual,Debt,domestic_debt,debt_domestic_debt_issuances_or_borrowings,16.310981259871422,0,0,high,0.0,0.9830508474576272,4.932203389830509,1.0,0.6440677966101696,1.0,1.0,0.8754237288135593,4.501694915254237
2023__q1__debt_domestic_debt_issuances_or_borrowings,2023,Q1,1,2023__q1,Debt,domestic_debt,debt_domestic_debt_issuances_or_borrowings,16.783378725548957,1,1,high,0.0,0.9957627118644068,4.983050847457627,1.0,0.6485169491525423,1.0,1.0,0.8769809322033897,4.507923728813559
2023__q2__debt_domestic_debt_issuances_or_borrowings,2023,Q2,2,2023__q2,Debt,domestic_debt,debt_domestic_debt_issuances_or_borrowings,15.700801236589983,0,1,moderate,0.0,0.9957627118644068,4.983050847457627,1.0,0.6485169491525423,1.0,1.0,0.8769809322033897,4.507923728813559
2023__q3__debt_domestic_debt_issuances_or_borrowings,2023,Q3,3,2023__q3,Debt,domestic_debt,debt_domestic_debt_issuances_or_borrowings,14.620129892304975,0,1,low,0.1197594501718213,1.0,5.0,1.0,0.6919158075601375,1.0,1.0,0.8921705326460481,4.568682130584192
2023__q4__debt_domestic_debt_issuances_or_borrowings,2023,Q4,4,2023__q4,Debt,domestic_debt,debt_domestic_debt_issuances_or_borrowings,15.821890610846822,0,0,high,0.0,0.9957627118644068,4.983050847457627,1.0,0.6485169491525423,1.0,1.0,0.8769809322033897,4.507923728813559
2023__end_year_annual__debt_domestic_debt_issuances_or_borrowings,2023,End-Year/Annual,5,2023__end_year_annual,Debt,domestic_debt,debt_domestic_debt_issuances_or_borrowings,15.385020403101038,0,0,moderate,0.0,0.9957627118644068,4.983050847457627,1.0,0.6485169491525423,1.0,1.0,0.8769809322033897,4.507923728813559
2024__q2__debt_domestic_debt_issuances_or_borrowings,2024,Q2,2,2024__q2,Debt,domestic_debt,debt_domestic_debt_issuances_or_borrowings,15.884130933349224,0,0,high,0.0,0.9957627118644068,4.983050847457627,1.0,0.6485169491525423,1.0,1.0,0.8769809322033897,4.507923728813559
2024__q3__debt_domestic_debt_issuances_or_borrowings,2024,Q3,3,2024__q3,Debt,domestic_debt,debt_domestic_debt_issuances_or_borrowings,15.759213178426911,0,1,moderate,0.0,0.9957627118644068,4.983050847457627,1.0,0.6485169491525423,1.0,1.0,0.8769809322033897,4.507923728813559
2024__q4__debt_domestic_debt_issuances_or_borrowings,2024,Q4,4,2024__q4,Debt,domestic_debt,debt_domestic_debt_issuances_or_borrowings,16.594711151405324,1,1,high,0.0,0.9957627118644068,4.983050847457627,1.0,0.6485169491525423,1.0,1.0,0.8769809322033897,4.507923728813559
2022__q1__debt_domestic_debt_principal_repayment,2022,Q1,1,2022__q1,Debt,domestic_debt,debt_domestic_debt_principal_repayment,15.403587602851243,0,0,moderate,0.0,0.9491525423728814,4.796610169491526,1.0,0.6322033898305084,1.0,0.2857142857142857,0.6569854721549636,3.6279418886198544
2022__q3__debt_domestic_debt_principal_repayment,2022,Q3,3,2022__q3,Debt,domestic_debt,debt_domestic_debt_principal_repayment,15.324576841310938,0,0,moderate,0.0,0.9703389830508474,4.881355932203389,1.0,0.6396186440677966,1.0,1.0,0.8738665254237288,4.495466101694915
2022__q4__debt_domestic_debt_principal_repayment,2022,Q4,4,2022__q4,Debt,domestic_debt,debt_domestic_debt_principal_repayment,15.329319053518503,0,0,moderate,0.0,0.9830508474576272,4.932203389830509,1.0,0.6440677966101696,1.0,1.0,0.8754237288135593,4.501694915254237
2022__end_year_annual__debt_domestic_debt_principal_repayment,2022,End-Year/Annual,5,2022__end_year_annual,Debt,domestic_debt,debt_domestic_debt_principal_repayment,15.476332895367797,0,0,moderate,0.0,0.9830508474576272,4.932203389830509,1.0,0.6440677966101696,1.0,1.0,0.8754237288135593,4.501694915254237
2023__q1__debt_domestic_debt_principal_repayment,2023,Q1,1,2023__q1,Debt,domestic_debt,debt_domestic_debt_principal_repayment,15.790456476440063,0,1,moderate,0.0,0.9957627118644068,4.983050847457627,1.0,0.6485169491525423,1.0,1.0,0.8769809322033897,4.507923728813559
2023__q2__debt_domestic_debt_principal_repayment,2023,Q2,2,2023__q2,Debt,domestic_debt,debt_domestic_debt_principal_repayment,15.41655915415285,0,1,moderate,0.0,0.9957627118644068,4.983050847457627,1.0,0.6485169491525423,1.0,1.0,0.8769809322033897,4.507923728813559
2023__q3__debt_domestic_debt_principal_repayment,2023,Q3,3,2023__q3,Debt,domestic_debt,debt_domestic_debt_principal_repayment,14.302991556628161,0,0,low,0.1197594501718213,1.0,5.0,1.0,0.6919158075601375,1.0,1.0,0.8921705326460481,4.568682130584192
2023__q4__debt_domestic_debt_principal_repayment,2023,Q4,4,2023__q4,Debt,domestic_debt,debt_domestic_debt_principal_repayment,15.35882803420645,0,0,moderate,0.0,0.9957627118644068,4.983050847457627,1.0,0.6485169491525423,1.0,1.0,0.8769809322033897,4.507923728813559
2023__end_year_annual__debt_domestic_debt_principal_repayment,2023,End-Year/Annual,5,2023__end_year_annual,Debt,domestic_debt,debt_domestic_debt_principal_repayment,15.268514961282925,0,0,moderate,0.0,0.9957627118644068,4.983050847457627,1.0,0.6485169491525423,1.0,1.0,0.8769809322033897,4.507923728813559
2024__q2__debt_domestic_debt_principal_repayment,2024,Q2,2,2024__q2,Debt,domestic_debt,debt_domestic_debt_principal_repayment,15.430925979489363,0,0,moderate,0.0,0.9957627118644068,4.983050847457627,1.0,0.6485169491525423,1.0,1.0,0.8769809322033897,4.507923728813559
2024__q3__debt_domestic_debt_principal_repayment,2024,Q3,3,2024__q3,Debt,domestic_debt,debt_domestic_debt_principal_repayment,15.292173144637294,0,0,moderate,0.0,0.9957627118644068,4.983050847457627,1.0,0.6485169491525423,1.0,1.0,0.8769809322033897,4.507923728813559
2024__q4__debt_domestic_debt_principal_repayment,2024,Q4,4,2024__q4,Debt,domestic_debt,debt_domestic_debt_principal_repayment,15.107671987403187,0,0,low,0.0,0.9957627118644068,4.983050847457627,1.0,0.6485169491525423,1.0,1.0,0.8769809322033897,4.507923728813559
2022__q1__debt_domestic_debt_unlabeled_row,2022,Q1,1,2022__q1,Debt,domestic_debt,debt_domestic_debt_unlabeled_row,26.158433103012058,1,1,high,0.0,0.9491525423728814,4.796610169491526,1.0,0.6322033898305084,1.0,0.2857142857142857,0.6569854721549636,3.6279418886198544
2022__end_year_annual__debt_domestic_debt_unlabeled_row,2022,End-Year/Annual,5,2022__end_year_annual,Debt,domestic_debt,debt_domestic_debt_unlabeled_row,20.622462008749824,1,1,high,0.0,0.9703389830508474,4.881355932203389,1.0,0.6396186440677966,1.0,1.0,0.8738665254237288,4.495466101694915
2023__q1__debt_domestic_debt_unlabeled_row,2023,Q1,1,2023__q1,Debt,domestic_debt,debt_domestic_debt_unlabeled_row,28.733363434600335,1,1,high,0.0,0.9830508474576272,4.932203389830509,1.0,0.6440677966101696,1.0,1.0,0.8754237288135593,4.501694915254237
2023__q3__debt_domestic_debt_unlabeled_row,2023,Q3,3,2023__q3,Debt,domestic_debt,debt_domestic_debt_unlabeled_row,18.909933133675196,1,1,high,0.0,0.9830508474576272,4.932203389830509,1.0,0.6440677966101696,1.0,1.0,0.8754237288135593,4.501694915254237
2023__q4__debt_domestic_debt_unlabeled_row,2023,Q4,4,2023__q4,Debt,domestic_debt,debt_domestic_debt_unlabeled_row,17.45219675101711,1,1,high,0.0,0.9957627118644068,4.983050847457627,1.0,0.6485169491525423,1.0,1.0,0.8769809322033897,4.507923728813559
2023__end_year_annual__debt_domestic_debt_unlabeled_row,2023,End-Year/Annual,5,2023__end_year_annual,Debt,domestic_debt,debt_domestic_debt_unlabeled_row,16.940166266281615,1,1,high,0.0,0.9957627118644068,4.983050847457627,1.0,0.6485169491525423,1.0,1.0,0.8769809322033897,4.507923728813559
2024__q3__debt_domestic_debt_unlabeled_row,2024,Q3,3,2024__q3,Debt,domestic_debt,debt_domestic_debt_unlabeled_row,18.863812011705754,1,1,high,0.0,0.9957627118644068,4.983050847457627,1.0,0.6485169491525423,1.0,1.0,0.8769809322033897,4.507923728813559
2024__q4__debt_domestic_debt_unlabeled_row,2024,Q4,4,2024__q4,Debt,domestic_debt,debt_domestic_debt_unlabeled_row,16.954663179820763,1,1,high,0.0,0.9957627118644068,4.983050847457627,1.0,0.6485169491525423,1.0,1.0,0.8769809322033897,4.507923728813559
2022__q1__debt_external_debt_amortization_of_government_bonds,2022,Q1,1,2022__q1,Debt,external_debt,debt_external_debt_amortization_of_government_bonds,15.249741331850549,0,0,moderate,0.0,0.9491525423728814,4.796610169491526,1.0,0.6322033898305084,1.0,0.2857142857142857,0.6569854721549636,3.6279418886198544
2023__q1__debt_external_debt_amortization_of_government_bonds,2023,Q1,1,2023__q1,Debt,external_debt,debt_external_debt_amortization_of_government_bonds,15.249741331850549,0,0,moderate,0.0,0.9661016949152542,4.864406779661017,1.0,0.638135593220339,1.0,0.8571428571428571,0.8304903147699757,4.321961259079902
2024__q4__debt_external_debt_amortization_of_government_bonds,2024,Q4,4,2024__q4,Debt,external_debt,debt_external_debt_amortization_of_government_bonds,15.249741803453803,0,0,moderate,0.0,0.9745762711864407,4.898305084745763,1.0,0.6411016949152541,1.0,0.8571428571428571,0.831528450363196,4.3261138014527845
2022__q1__debt_external_debt_end_of_period_balance,2022,Q1,1,2022__q1,Debt,external_debt,debt_external_debt_end_of_period_balance,22.49376025548153,1,1,high,0.0,0.9491525423728814,4.796610169491526,1.0,0.6322033898305084,1.0,0.2857142857142857,0.6569854721549636,3.6279418886198544
2022__q3__debt_external_debt_end_of_period_balance,2022,Q3,3,2022__q3,Debt,external_debt,debt_external_debt_end_of_period_balance,18.01433910585837,1,1,high,0.0,0.9703389830508474,4.881355932203389,1.0,0.6396186440677966,1.0,1.0,0.8738665254237288,4.495466101694915
2022__q4__debt_external_debt_end_of_period_balance,2022,Q4,4,2022__q4,Debt,external_debt,debt_external_debt_end_of_period_balance,16.574200428634654,1,1,high,0.0,0.9830508474576272,4.932203389830509,1.0,0.6440677966101696,1.0,1.0,0.8754237288135593,4.501694915254237
2022__end_year_annual__debt_external_debt_end_of_period_balance,2022,End-Year/Annual,5,2022__end_year_annual,Debt,external_debt,debt_external_debt_end_of_period_balance,18.9005370355716,1,1,high,0.0,0.9830508474576272,4.932203389830509,1.0,0.6440677966101696,1.0,1.0,0.8754237288135593,4.501694915254237
