url,source_page,link_text,local_path,file_name,extension,year_guess,period_guess,file_type_guess,size_bytes,sha256,download_status
https://www.mof.gov.sa/en/financialreport/2023/Documents/Q3-2023%20Quarterly%20Budget%20Performance%20Tables.xlsx,https://www.mof.gov.sa/en/financialreport/2023/Pages/default.aspx,,E:\47\471\New Papers\Transforming AI-Driven Solutions\Codes\Data\MoF_Web_Crawl\2023__Q3__de70d89bb6__Q3-2023_Quarterly_Budget_Performance_Tables.xlsx,2023__Q3__de70d89bb6__Q3-2023_Quarterly_Budget_Performance_Tables.xlsx,.xlsx,2023.0,Q3,other_financial_file,282170,76d13a98691001ee451c0d9a54ccff9619aa6a597f8abbf3bb6b3f5227db4009,downloaded
https://www.mof.gov.sa/en/financialreport/2023/Documents/infoE%20Q3-2023.pdf,https://www.mof.gov.sa/en/financialreport/2023/Pages/default.aspx,,E:\47\471\New Papers\Transforming AI-Driven Solutions\Codes\Data\MoF_Web_Crawl\2023__54c1082d9f__infoE_Q3-2023.pdf,2023__54c1082d9f__infoE_Q3-2023.pdf,.pdf,2023.0,,other_financial_file,868201,93f735efd25cba72bbcc4430aa22c7dbf0872b907f9831dcd721175ca3dada68,downloaded
https://www.mof.gov.sa/en/financialreport/2023/Documents/Q4E%202023-140224.pdf,https://www.mof.gov.sa/en/financialreport/2023/Pages/default.aspx,,E:\47\471\New Papers\Transforming AI-Driven Solutions\Codes\Data\MoF_Web_Crawl\2023__1d00335273__Q4E_2023-140224.pdf,2023__1d00335273__Q4E_2023-140224.pdf,.pdf,2023.0,,other_financial_file,1476199,8fdbb4b9e29713dadfb0cb66de1c315a83772a0825635bad80d4ef71a7dcc820,downloaded
https://www.mof.gov.sa/en/financialreport/2023/Documents/Q4-2023%20Quarterly%20Budget%20Performance%20Table_Final.xlsx,https://www.mof.gov.sa/en/financialreport/2023/Pages/default.aspx,,E:\47\471\New Papers\Transforming AI-Driven Solutions\Codes\Data\MoF_Web_Crawl\2023__Q4__05b025b90b__Q4-2023_Quarterly_Budget_Performance_Table_Final.xlsx,2023__Q4__05b025b90b__Q4-2023_Quarterly_Budget_Performance_Table_Final.xlsx,.xlsx,2023.0,Q4,other_financial_file,456470,cfa3df04cd896903023a570caf6c6d002c17a43953c03feba743a5e16074d6db,downloaded
https://www.mof.gov.sa/en/financialreport/2023/Documents/infoE%20Q4-2023%20140224.pdf,https://www.mof.gov.sa/en/financialreport/2023/Pages/default.aspx,,E:\47\471\New Papers\Transforming AI-Driven Solutions\Codes\Data\MoF_Web_Crawl\2023__2205d9bc7b__infoE_Q4-2023_140224.pdf,2023__2205d9bc7b__infoE_Q4-2023_140224.pdf,.pdf,2023.0,,other_financial_file,570709,d7558b8fb67622587d233af0269e89675aebf185f8a31f750534d8ef055c5495,downloaded
https://www.mof.gov.sa/en/financialreport/2023/Documents/infoE%20Until%20Q4-2023%20140224.pdf,https://www.mof.gov.sa/en/financialreport/2023/Pages/default.aspx,,E:\47\471\New Papers\Transforming AI-Driven Solutions\Codes\Data\MoF_Web_Crawl\2023__5c025d9a14__infoE_Until_Q4-2023_140224.pdf,2023__5c025d9a14__infoE_Until_Q4-2023_140224.pdf,.pdf,2023.0,,other_financial_file,569796,5c93e9c6298d9aad9122fbea04697a959245441a48894ee864068431c2fec5ad,downloaded
https://www.mof.gov.sa/en/financialreport/2023/Documents/END-Bud-E%202023%20F2.pdf,https://www.mof.gov.sa/en/financialreport/2023/Pages/default.aspx,,E:\47\471\New Papers\Transforming AI-Driven Solutions\Codes\Data\MoF_Web_Crawl\2023__827615584c__END-Bud-E_2023_F2.pdf,2023__827615584c__END-Bud-E_2023_F2.pdf,.pdf,2023.0,,other_financial_file,2043729,406cfa2ce312359012e58b340414c098e5643959720cd23053602919a7d74240,downloaded
https://www.mof.gov.sa/en/financialreport/2022/Documents/END%20Bud-E%202022.pdf,https://www.mof.gov.sa/en/financialreport/2022/Pages/default.aspx,,E:\47\471\New Papers\Transforming AI-Driven Solutions\Codes\Data\MoF_Web_Crawl\2022__e03a55b441__END_Bud-E_2022.pdf,2022__e03a55b441__END_Bud-E_2022.pdf,.pdf,2022.0,,other_financial_file,932714,02f4aabff149a670549eb0f718de4b54ba4fb85d18836165b1985f764c255da2,downloaded
https://www.mof.gov.sa/en/financialreport/2022/Documents/Q4%20E%202022.pdf,https://www.mof.gov.sa/en/financialreport/2022/Pages/default.aspx,,E:\47\471\New Papers\Transforming AI-Driven Solutions\Codes\Data\MoF_Web_Crawl\2022__Q4__7c381308ab__Q4_E_2022.pdf,2022__Q4__7c381308ab__Q4_E_2022.pdf,.pdf,2022.0,Q4,other_financial_file,3273053,f11d8e1edfadbec1ba522f76d4a048bf85b9edcbffaba7a4d3214bd0ed5bc0ac,downloaded
https://www.mof.gov.sa/financialreport/2022/Documents/Quarterly%20Budget%20Performance%20Report_Q4_2022.xlsx,https://www.mof.gov.sa/en/financialreport/2022/Pages/default.aspx,,E:\47\471\New Papers\Transforming AI-Driven Solutions\Codes\Data\MoF_Web_Crawl\2022__f8ab4c97b2__Quarterly_Budget_Performance_Report_Q4_2022.xlsx,2022__f8ab4c97b2__Quarterly_Budget_Performance_Report_Q4_2022.xlsx,.xlsx,2022.0,,other_financial_file,149651,88426432ee24926c79d72d31cca91bdf1db43b18e1033104f13838c415335b68,downloaded
https://www.mof.gov.sa/en/financialreport/2022/Documents/Q3E2022.pdf,https://www.mof.gov.sa/en/financialreport/2022/Pages/default.aspx,,E:\47\471\New Papers\Transforming AI-Driven Solutions\Codes\Data\MoF_Web_Crawl\2022__eefc25967d__Q3E2022.pdf,2022__eefc25967d__Q3E2022.pdf,.pdf,2022.0,,other_financial_file,3455088,e33570a9cd7a8a29077d18579cc8ee6b21665816a6b96e7f770c559d98135383,downloaded
https://www.mof.gov.sa/en/financialreport/2022/Documents/Quarterly%20Budget%20Performance%20Report_Q3_2022.xlsx,https://www.mof.gov.sa/en/financialreport/2022/Pages/default.aspx,,E:\47\471\New Papers\Transforming AI-Driven Solutions\Codes\Data\MoF_Web_Crawl\2022__9395abcacb__Quarterly_Budget_Performance_Report_Q3_2022.xlsx,2022__9395abcacb__Quarterly_Budget_Performance_Report_Q3_2022.xlsx,.xlsx,2022.0,,other_financial_file,187658,b4d12a74e619cb2343f16a110f3a56af86aa312d38f8c147590071cf711c0de3,downloaded
https://www.mof.gov.sa/en/financialreport/2022/Documents/Mid-Bud%202022-En.pdf,https://www.mof.gov.sa/en/financialreport/2022/Pages/default.aspx,,E:\47\471\New Papers\Transforming AI-Driven Solutions\Codes\Data\MoF_Web_Crawl\2022__d4ec4a3d9f__Mid-Bud_2022-En.pdf,2022__d4ec4a3d9f__Mid-Bud_2022-En.pdf,.pdf,2022.0,,other_financial_file,1524662,0edfde735e92a34b1b6380d7225ee39eb3d7eb3dabfe1eca428924078f615c02,downloaded
https://www.mof.gov.sa/en/financialreport/2022/Documents/Q2E2022.pdf,https://www.mof.gov.sa/en/financialreport/2022/Pages/default.aspx,,E:\47\471\New Papers\Transforming AI-Driven Solutions\Codes\Data\MoF_Web_Crawl\2022__6f3910b2d8__Q2E2022.pdf,2022__6f3910b2d8__Q2E2022.pdf,.pdf,2022.0,,other_financial_file,3443091,9396a2a37821b9804bfec62882ef78402f3cd65fdbcb73f67008cf552be1ecc3,downloaded
https://www.mof.gov.sa/en/financialreport/2022/Documents/Quarterly_Budget%20_Performance_Report_Q2_2022_final.xlsx,https://www.mof.gov.sa/en/financialreport/2022/Pages/default.aspx,,E:\47\471\New Papers\Transforming AI-Driven Solutions\Codes\Data\MoF_Web_Crawl\2022__End-Year_Annual__09d150a7c6__Quarterly_Budget__Performance_Report_Q2_2022_final.xlsx,2022__End-Year_Annual__09d150a7c6__Quarterly_Budget__Performance_Report_Q2_2022_final.xlsx,.xlsx,2022.0,End-Year/Annual,other_financial_file,243434,1009f9c5735a10ea7e9980ae2e84a1155d86cfb9dcfdb1924bb7fd0f83801d1c,downloaded
https://www.mof.gov.sa/en/financialreport/2022/Documents/Q1E%202022-MOF.pdf,https://www.mof.gov.sa/en/financialreport/2022/Pages/default.aspx,,E:\47\471\New Papers\Transforming AI-Driven Solutions\Codes\Data\MoF_Web_Crawl\2022__2b575b84a6__Q1E_2022-MOF.pdf,2022__2b575b84a6__Q1E_2022-MOF.pdf,.pdf,2022.0,,other_financial_file,3339859,0e8fbff762d329c05c1fc3fc9b90e0bd4dbf1f07324de47d60f307d76678075a,downloaded
https://www.mof.gov.sa/en/financialreport/2022/Documents/Quarterly%20Budget%20Performance%20Report_Q1_2021.xlsx,https://www.mof.gov.sa/en/financialreport/2022/Pages/default.aspx,,E:\47\471\New Papers\Transforming AI-Driven Solutions\Codes\Data\MoF_Web_Crawl\2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,.xlsx,2022.0,,other_financial_file,248972,8edf985ea057843bccc812e75e542ed16e072e551f2ca6dc0d134f545f01aa98,downloaded
https://www.mof.gov.sa/en/financialreport/2021/Documents/END_Bud-Eng%202021.pdf,https://www.mof.gov.sa/en/financialreport/2021/Pages/default.aspx,,E:\47\471\New Papers\Transforming AI-Driven Solutions\Codes\Data\MoF_Web_Crawl\2021__30ca4da3e6__END_Bud-Eng_2021.pdf,2021__30ca4da3e6__END_Bud-Eng_2021.pdf,.pdf,2021.0,,other_financial_file,1421024,3ea0f7c386f7e99a01f662c8cfb36e827da0f6ac8b47ab8d41d8aeacc7eb96ee,downloaded
https://www.mof.gov.sa/en/financialreport/2021/Documents/Q4E%202021.pdf,https://www.mof.gov.sa/en/financialreport/2021/Pages/default.aspx,,E:\47\471\New Papers\Transforming AI-Driven Solutions\Codes\Data\MoF_Web_Crawl\2021__1e2c970b36__Q4E_2021.pdf,2021__1e2c970b36__Q4E_2021.pdf,.pdf,2021.0,,other_financial_file,2509607,063612f2013956ee2952b20bccadede2059f33fa33674444c51ed6fcfb1085d3,downloaded
